date_unix,date,lat,lon,countRate,doseRate,acc
1744899147,2025-04-17 14:12:27,54.44483,18.568638,12.52,15.76,14
1744899160,2025-04-17 14:12:40,54.444833,18.568458,12.8,16.48,7
1744899172,2025-04-17 14:12:52,54.444812,18.568267,11.37,12.58,4
1744899183,2025-04-17 14:13:03,54.44473,18.568143,11.44,13.35,3
1744899193,2025-04-17 14:13:13,54.444655,18.568012,11.59,13.67,3
1744899202,2025-04-17 14:13:22,54.444591,18.567886,11.83,13.27,3
1744899214,2025-04-17 14:13:34,54.444527,18.567735,12.27,14.44,3
1744899228,2025-04-17 14:13:48,54.444454,18.567601,12.52,15.72,4
1744899242,2025-04-17 14:14:02,54.444354,18.567519,8.66,12.18,5
1744899255,2025-04-17 14:14:15,54.444318,18.567344,6.34,7.48,5
1744899270,2025-04-17 14:14:30,54.44426,18.567218,6.11,6.73,5
1744899278,2025-04-17 14:14:38,54.444201,18.567102,6.49,6.6,7
1744899287,2025-04-17 14:14:47,54.444177,18.566946,6.49,6.13,7
1744899297,2025-04-17 14:14:57,54.444136,18.566807,6.45,6.22,7
1744899310,2025-04-17 14:15:10,54.444056,18.566722,6.44,7.02,7
1744899322,2025-04-17 14:15:22,54.444031,18.566549,6.4,6.82,6
1744899335,2025-04-17 14:15:35,54.444008,18.566383,6.47,7.34,6
1744899346,2025-04-17 14:15:46,54.444068,18.566231,6.4,7.15,6
1744899356,2025-04-17 14:15:56,54.444137,18.56613,6.47,7.32,7
1744899378,2025-04-17 14:16:18,54.444202,18.565982,6.5,7.19,10
1744899415,2025-04-17 14:16:55,54.444088,18.566012,6.35,7.34,9
1744899424,2025-04-17 14:17:04,54.443998,18.566095,6.28,7.29,8
1744899440,2025-04-17 14:17:20,54.443909,18.566147,6.21,7.44,8
1744899453,2025-04-17 14:17:33,54.443907,18.565977,6.27,7.64,7
1744899466,2025-04-17 14:17:46,54.443867,18.565797,6.35,7.83,8
1744899477,2025-04-17 14:17:57,54.443819,18.565649,6.36,7.79,7
1744899486,2025-04-17 14:18:06,54.443782,18.565497,6.4,7.75,7
1744899501,2025-04-17 14:18:21,54.443699,18.565325,6.39,7.85,7
1744899509,2025-04-17 14:18:29,54.443677,18.565175,6.36,7.79,7
1744899523,2025-04-17 14:18:43,54.443639,18.565031,6.39,8.43,26
1744899599,2025-04-17 14:19:59,54.443719,18.564925,6.36,7.87,33
1744899616,2025-04-17 14:20:16,54.443631,18.564848,6.4,7.57,7
1744899625,2025-04-17 14:20:25,54.443593,18.564685,6.4,7.85,6
1744899631,2025-04-17 14:20:31,54.443483,18.564697,6.38,7.76,6
