date_unix,date,lat,lon,countRate,doseRate,acc
1740841579,2025-03-01 15:06:19,63.422853,10.391536,4.19,5.67,14
1740841583,2025-03-01 15:06:23,63.422875,10.391316,4.18,5.62,18
1740841594,2025-03-01 15:06:34,63.422874,10.391107,4.14,5.89,15
1740841607,2025-03-01 15:06:47,63.422874,10.390895,4.09,5.7,8
1740841639,2025-03-01 15:07:19,63.422866,10.39061,3.75,5.56,7
1740841643,2025-03-01 15:07:23,63.422884,10.390287,3.74,5.51,7
1740841645,2025-03-01 15:07:25,63.422913,10.39006,3.73,5.51,7
1740841649,2025-03-01 15:07:29,63.422961,10.389713,3.72,5.34,7
1740841653,2025-03-01 15:07:33,63.423008,10.389386,3.71,5.41,8
1740841657,2025-03-01 15:07:37,63.423061,10.389075,3.67,5.31,6
1740841661,2025-03-01 15:07:41,63.423215,10.38879,3.65,5.33,6
1740841663,2025-03-01 15:07:43,63.423294,10.388646,3.64,5.32,7
1740841665,2025-03-01 15:07:45,63.423358,10.388504,3.61,5.29,7
1740841669,2025-03-01 15:07:49,63.423428,10.388199,3.57,5.27,8
1740841673,2025-03-01 15:07:53,63.423516,10.387868,3.58,5.51,9
1740841675,2025-03-01 15:07:55,63.423568,10.387686,3.59,5.51,9
1740841679,2025-03-01 15:07:59,63.423685,10.387327,3.56,5.46,10
1740841681,2025-03-01 15:08:01,63.423737,10.387121,3.57,5.48,11
1740841683,2025-03-01 15:08:03,63.423784,10.386936,3.56,5.48,11
1740841685,2025-03-01 15:08:05,63.423849,10.386725,3.57,5.49,11
1740841687,2025-03-01 15:08:07,63.423907,10.386503,3.55,5.58,11
1740841689,2025-03-01 15:08:09,63.423959,10.386295,3.54,5.58,11
1740841691,2025-03-01 15:08:11,63.424029,10.386081,3.54,5.58,11
1740841693,2025-03-01 15:08:13,63.424109,10.38586,3.57,5.8,11
1740841695,2025-03-01 15:08:15,63.424199,10.385646,3.57,5.8,11
1740841697,2025-03-01 15:08:17,63.42431,10.385464,3.58,5.65,9
1740841699,2025-03-01 15:08:19,63.424428,10.385256,3.61,5.79,10
1740841701,2025-03-01 15:08:21,63.424525,10.385013,3.6,6.03,15
1740841703,2025-03-01 15:08:23,63.424632,10.384837,3.62,6.24,14
1740841705,2025-03-01 15:08:25,63.424725,10.384636,3.61,6.19,11
1740841707,2025-03-01 15:08:27,63.424809,10.384438,3.59,6.08,10
1740841709,2025-03-01 15:08:29,63.42487,10.384285,3.56,6.01,11
1740841711,2025-03-01 15:08:31,63.424952,10.384093,3.56,6.01,11
1740841713,2025-03-01 15:08:33,63.425006,10.383868,3.54,6.01,10
1740841715,2025-03-01 15:08:35,63.425063,10.383639,3.54,6.08,10
1740841717,2025-03-01 15:08:37,63.425121,10.383433,3.52,6.08,9
1740841719,2025-03-01 15:08:39,63.425168,10.383162,3.49,6.06,11
1740841721,2025-03-01 15:08:41,63.425196,10.382947,3.49,5.96,10
1740841723,2025-03-01 15:08:43,63.425235,10.382737,3.45,5.69,9
1740841725,2025-03-01 15:08:45,63.425294,10.382524,3.43,5.66,10
1740841727,2025-03-01 15:08:47,63.425343,10.382326,3.4,5.65,10
1740841729,2025-03-01 15:08:49,63.425398,10.382116,3.4,5.66,10
1740841731,2025-03-01 15:08:51,63.425443,10.381912,3.4,5.61,10
1740841733,2025-03-01 15:08:53,63.425498,10.381694,3.41,5.61,10
1740841735,2025-03-01 15:08:55,63.425529,10.381503,3.41,5.57,9
1740841737,2025-03-01 15:08:57,63.425589,10.381298,3.39,5.44,9
1740841739,2025-03-01 15:08:59,63.42564,10.3811,3.39,5.39,9
1740841743,2025-03-01 15:09:03,63.425711,10.380718,3.39,5.4,9
1740841745,2025-03-01 15:09:05,63.425752,10.380532,3.4,5.4,9
1740841747,2025-03-01 15:09:07,63.425802,10.380319,3.35,5.32,10
1740841749,2025-03-01 15:09:09,63.425843,10.380108,3.35,5.32,10
1740841753,2025-03-01 15:09:13,63.425926,10.379725,3.35,5.58,10
1740841755,2025-03-01 15:09:15,63.425965,10.379538,3.35,5.59,10
1740841757,2025-03-01 15:09:17,63.426026,10.379318,3.36,5.65,10
1740841759,2025-03-01 15:09:19,63.42609,10.379103,3.3,5.58,10
1740841761,2025-03-01 15:09:21,63.426139,10.378895,3.3,5.61,11
1740841763,2025-03-01 15:09:23,63.426182,10.378665,3.3,5.61,11
1740841765,2025-03-01 15:09:25,63.426223,10.378482,3.31,5.78,11
1740841767,2025-03-01 15:09:27,63.426302,10.378338,3.31,5.61,11
1740841769,2025-03-01 15:09:29,63.426372,10.378209,3.28,5.6,11
1740841771,2025-03-01 15:09:31,63.426461,10.378132,3.26,5.55,11
1740841773,2025-03-01 15:09:33,63.42656,10.378061,3.28,5.55,11
1740841777,2025-03-01 15:09:37,63.426756,10.378117,3.27,5.48,11
1740841779,2025-03-01 15:09:39,63.426841,10.378187,3.27,5.52,11
1740841781,2025-03-01 15:09:41,63.426931,10.378276,3.27,5.53,11
1740841783,2025-03-01 15:09:43,63.427025,10.378345,3.29,5.56,11
1740841785,2025-03-01 15:09:45,63.427125,10.378442,3.3,5.56,11
1740841787,2025-03-01 15:09:47,63.427223,10.378517,3.31,5.57,12
1740841789,2025-03-01 15:09:49,63.427322,10.378586,3.32,5.6,12
1740841791,2025-03-01 15:09:51,63.427425,10.378655,3.33,5.64,12
1740841793,2025-03-01 15:09:53,63.427546,10.378729,3.31,5.47,14
1740841795,2025-03-01 15:09:55,63.427672,10.378697,3.33,5.48,14
1740841797,2025-03-01 15:09:57,63.427767,10.378538,3.32,5.47,12
1740841799,2025-03-01 15:09:59,63.427844,10.378258,3.33,5.48,11
1740841801,2025-03-01 15:10:01,63.427905,10.378028,3.32,5.48,11
1740841803,2025-03-01 15:10:03,63.427973,10.377795,3.31,5.47,11
1740841805,2025-03-01 15:10:05,63.42805,10.377563,3.3,5.4,12
1740841807,2025-03-01 15:10:07,63.428137,10.377352,3.3,5.39,12
1740841809,2025-03-01 15:10:09,63.428217,10.377153,3.32,5.4,9
1740841811,2025-03-01 15:10:11,63.428315,10.37701,3.32,5.41,10
1740841813,2025-03-01 15:10:13,63.428428,10.376925,3.33,5.24,9
1740841817,2025-03-01 15:10:17,63.428575,10.376848,3.34,5.33,9
1740841821,2025-03-01 15:10:21,63.428738,10.376747,3.36,5.37,9
1740841825,2025-03-01 15:10:25,63.42892,10.376679,3.34,5.21,9
1740841827,2025-03-01 15:10:27,63.429026,10.376635,3.35,5.36,9
1740841829,2025-03-01 15:10:29,63.429117,10.376577,3.39,5.73,9
1740841831,2025-03-01 15:10:31,63.429207,10.376501,3.39,5.71,10
1740841833,2025-03-01 15:10:33,63.429309,10.376452,3.38,5.69,10
1740841837,2025-03-01 15:10:37,63.429432,10.376169,3.38,5.61,11
1740841841,2025-03-01 15:10:41,63.429478,10.375985,3.35,5.72,11
1740841845,2025-03-01 15:10:45,63.429544,10.375837,3.36,5.45,11
1740841851,2025-03-01 15:10:51,63.429675,10.37573,3.35,5.35,11
1740841857,2025-03-01 15:10:57,63.429816,10.375741,3.38,5.49,12
1740841963,2025-03-01 15:12:43,63.429906,10.375756,3.66,5.36,13
1740841967,2025-03-01 15:12:47,63.429949,10.375479,3.7,5.48,13
1740841971,2025-03-01 15:12:51,63.430019,10.375132,3.71,5.41,13
1740841975,2025-03-01 15:12:55,63.430084,10.374917,3.73,5.51,13
1740841981,2025-03-01 15:13:01,63.430178,10.374798,3.81,5.66,12
1740841987,2025-03-01 15:13:07,63.430306,10.37471,3.8,5.66,13
1740841991,2025-03-01 15:13:11,63.430394,10.374546,3.8,5.67,12
1740841995,2025-03-01 15:13:15,63.430427,10.374236,3.85,5.68,10
1740841999,2025-03-01 15:13:19,63.430479,10.373977,3.85,5.44,9
1740842003,2025-03-01 15:13:23,63.430495,10.373779,3.88,5.47,8
1740842007,2025-03-01 15:13:27,63.430512,10.373574,3.87,5.47,9
1740842011,2025-03-01 15:13:31,63.43056,10.373354,3.85,5.31,11
1740842015,2025-03-01 15:13:35,63.430666,10.373083,3.86,5.32,14
1740842017,2025-03-01 15:13:37,63.430731,10.37282,3.84,5.28,16
1740842019,2025-03-01 15:13:39,63.430786,10.372538,3.81,5.28,20
1740842021,2025-03-01 15:13:41,63.430814,10.372286,3.77,5.15,22
1740842023,2025-03-01 15:13:43,63.430867,10.372025,3.74,5.15,25
1740842025,2025-03-01 15:13:45,63.430906,10.371766,3.74,5.15,24
1740842027,2025-03-01 15:13:47,63.430946,10.37153,3.73,5.14,20
1740842031,2025-03-01 15:13:51,63.430956,10.371282,3.7,5.21,19
1740842033,2025-03-01 15:13:53,63.43097,10.370927,3.76,5.4,19
1740842035,2025-03-01 15:13:55,63.431044,10.370518,3.77,5.46,23
1740842037,2025-03-01 15:13:57,63.431078,10.370227,3.75,5.45,22
1740842039,2025-03-01 15:13:59,63.431107,10.36996,3.73,5.53,20
1740842041,2025-03-01 15:14:01,63.431133,10.369688,3.74,5.53,19
1740842043,2025-03-01 15:14:03,63.431156,10.369446,3.73,5.65,18
1740842045,2025-03-01 15:14:05,63.431169,10.369204,3.71,5.61,17
