date_unix,date,lat,lon,countRate,doseRate,acc
1749380852,2025-06-08 11:07:32,63.422787,10.391911,5.15,8.65,14
1749380894,2025-06-08 11:08:14,63.422907,10.391938,4.66,8.05,10
1749380898,2025-06-08 11:08:18,63.422997,10.391795,4.62,7.69,15
1749380902,2025-06-08 11:08:22,63.422946,10.391459,4.59,7.56,18
1749380908,2025-06-08 11:08:28,63.42293,10.391145,4.52,7.39,17
1749380910,2025-06-08 11:08:30,63.422931,10.390943,4.49,7.32,16
1749380914,2025-06-08 11:08:34,63.422922,10.390618,4.43,7.2,20
1749380920,2025-06-08 11:08:40,63.422957,10.390244,4.34,7.05,22
1749380924,2025-06-08 11:08:44,63.422984,10.389924,4.27,6.83,23
1749380928,2025-06-08 11:08:48,63.423098,10.389726,4.17,6.61,22
1749380934,2025-06-08 11:08:54,63.423193,10.389863,4.1,6.52,24
1749380936,2025-06-08 11:08:56,63.423308,10.389929,4.05,6.41,22
1749380940,2025-06-08 11:09:00,63.423425,10.390073,3.99,6.39,22
1749380944,2025-06-08 11:09:04,63.423524,10.390222,3.93,6.19,23
1749380950,2025-06-08 11:09:10,63.423654,10.39029,3.77,6,23
1749380954,2025-06-08 11:09:14,63.423665,10.390039,3.71,6.05,23
1749380958,2025-06-08 11:09:18,63.423768,10.389806,3.68,6.03,24
1749380960,2025-06-08 11:09:20,63.42377,10.389579,3.64,5.98,25
1749380964,2025-06-08 11:09:24,63.423779,10.389291,3.61,6.01,27
1749380968,2025-06-08 11:09:28,63.423894,10.388989,3.58,6.07,25
1749380970,2025-06-08 11:09:30,63.423916,10.388749,3.57,5.99,20
1749380972,2025-06-08 11:09:32,63.423961,10.388555,3.55,5.88,18
1749380974,2025-06-08 11:09:34,63.424,10.388367,3.52,5.87,18
1749380976,2025-06-08 11:09:36,63.424049,10.388178,3.53,5.86,18
1749380978,2025-06-08 11:09:38,63.424106,10.387952,3.53,5.71,17
1749380982,2025-06-08 11:09:42,63.424149,10.387638,5.15,8.65,24
1749380984,2025-06-08 11:09:44,63.424219,10.387389,5.14,8.61,20
1749380986,2025-06-08 11:09:46,63.424295,10.387125,5.09,8.59,29
1749380988,2025-06-08 11:09:48,63.424349,10.386875,5.08,8.58,26
1749380990,2025-06-08 11:09:50,63.424423,10.38665,5.06,8.65,47
1749380992,2025-06-08 11:09:52,63.424476,10.38642,5.05,8.75,55
1749380994,2025-06-08 11:09:54,63.424558,10.386274,5.03,8.75,62
1749380996,2025-06-08 11:09:56,63.424662,10.386018,4.98,8.56,36
1749380998,2025-06-08 11:09:58,63.424742,10.385821,4.92,8.37,27
1749381000,2025-06-08 11:10:00,63.424833,10.385631,4.93,8.38,20
1749381002,2025-06-08 11:10:02,63.424921,10.385486,4.89,8.36,14
1749381004,2025-06-08 11:10:04,63.425024,10.385198,4.89,8.47,11
1749381006,2025-06-08 11:10:06,63.425102,10.385013,4.89,8.46,10
1749381008,2025-06-08 11:10:08,63.425189,10.384887,4.88,8.58,13
1749381010,2025-06-08 11:10:10,63.425296,10.384739,4.87,8.52,13
1749381012,2025-06-08 11:10:12,63.425392,10.384586,4.84,8.48,12
1749381014,2025-06-08 11:10:14,63.425474,10.38448,4.81,8.51,13
1749381016,2025-06-08 11:10:16,63.425551,10.384328,4.78,8.33,14
1749381018,2025-06-08 11:10:18,63.425648,10.384143,4.74,8.23,15
1749381020,2025-06-08 11:10:20,63.42577,10.383891,4.68,7.99,13
1749381022,2025-06-08 11:10:22,63.425879,10.383735,4.65,7.95,10
1749381026,2025-06-08 11:10:26,63.426043,10.383451,4.6,7.69,9
1749381028,2025-06-08 11:10:28,63.426115,10.383303,4.61,7.63,10
1749381032,2025-06-08 11:10:32,63.426267,10.38307,4.57,7.42,9
1749381034,2025-06-08 11:10:34,63.426345,10.38293,4.54,7.4,9
1749381036,2025-06-08 11:10:36,63.426409,10.382781,4.52,7.39,11
1749381038,2025-06-08 11:10:38,63.426474,10.382607,4.49,7.32,11
1749381042,2025-06-08 11:10:42,63.426601,10.382383,4.43,7.2,11
1749381050,2025-06-08 11:10:50,63.426747,10.382533,4.32,6.86,10
