date_unix,date,lat,lon,countRate,doseRate,acc
1748687766,2025-05-31 10:36:06,63.42275,10.391653,5.01,6.75,14
1748687777,2025-05-31 10:36:17,63.422839,10.391619,4.9,6.53,11
1748687791,2025-05-31 10:36:31,63.422794,10.391822,4.8,6.42,4
1748687805,2025-05-31 10:36:45,63.422889,10.391777,4.7,5.96,14
1748687815,2025-05-31 10:36:55,63.422848,10.391569,4.66,6.01,11
1748687826,2025-05-31 10:37:06,63.422902,10.391122,4.58,5.99,21
1748687830,2025-05-31 10:37:10,63.423071,10.390989,4.56,6.01,20
1748687832,2025-05-31 10:37:12,63.423167,10.39093,4.54,6.03,14
1748687834,2025-05-31 10:37:14,63.423295,10.390989,4.51,6.04,14
1748687839,2025-05-31 10:37:19,63.423449,10.391005,4.45,5.91,14
1748687843,2025-05-31 10:37:23,63.42356,10.390922,4.45,6.1,6
1748687847,2025-05-31 10:37:27,63.423586,10.390646,4.35,6.03,10
1748687851,2025-05-31 10:37:31,63.423593,10.390299,4.29,5.87,10
1748687855,2025-05-31 10:37:35,63.423651,10.389942,4.21,5.77,15
1748687857,2025-05-31 10:37:37,63.423684,10.389735,4.19,5.93,10
1748687859,2025-05-31 10:37:39,63.423728,10.389525,4.14,5.73,4
1748687861,2025-05-31 10:37:41,63.423782,10.389319,4.1,5.7,8
1748687863,2025-05-31 10:37:43,63.423815,10.389116,4.08,5.69,8
1748687867,2025-05-31 10:37:47,63.423867,10.388773,4.01,5.72,8
1748687869,2025-05-31 10:37:49,63.423905,10.388587,3.98,5.71,9
1748687873,2025-05-31 10:37:53,63.423988,10.388213,3.91,5.6,9
1748687875,2025-05-31 10:37:55,63.424029,10.388026,3.87,5.58,9
1748687877,2025-05-31 10:37:57,63.424074,10.387832,5.21,7.26,9
1748687879,2025-05-31 10:37:59,63.424116,10.387634,5.19,7.18,9
1748687883,2025-05-31 10:38:03,63.424193,10.387269,5.13,7.16,9
1748687887,2025-05-31 10:38:07,63.424261,10.386948,5.1,7.15,8
1748687907,2025-05-31 10:38:27,63.424345,10.386746,4.89,6.52,7
1748687911,2025-05-31 10:38:31,63.424417,10.386519,4.86,6.46,6
1748687915,2025-05-31 10:38:35,63.424518,10.386264,4.84,6.36,6
1748687919,2025-05-31 10:38:39,63.424642,10.385996,4.8,6.42,6
1748687921,2025-05-31 10:38:41,63.424708,10.38582,4.82,6.41,7
1748687923,2025-05-31 10:38:43,63.424777,10.385628,4.78,6.37,7
1748687925,2025-05-31 10:38:45,63.424852,10.385449,4.78,6.25,7
1748687927,2025-05-31 10:38:47,63.424939,10.385276,4.74,6.19,8
1748687929,2025-05-31 10:38:49,63.425043,10.385117,4.73,6.19,7
1748687931,2025-05-31 10:38:51,63.425138,10.384921,4.73,6.08,8
1748687933,2025-05-31 10:38:53,63.425226,10.384766,4.7,5.96,12
1748687935,2025-05-31 10:38:55,63.425321,10.384619,4.71,6,14
1748687937,2025-05-31 10:38:57,63.425423,10.384468,4.71,5.99,14
1748687939,2025-05-31 10:38:59,63.425503,10.384303,4.71,5.99,18
1748687941,2025-05-31 10:39:01,63.425587,10.384156,4.67,6.01,17
1748687943,2025-05-31 10:39:03,63.425654,10.383972,4.66,6.01,16
1748687945,2025-05-31 10:39:05,63.425745,10.38383,4.65,6.09,14
1748687949,2025-05-31 10:39:09,63.425885,10.383617,4.66,6.03,12
1748687953,2025-05-31 10:39:13,63.42599,10.383398,4.59,5.96,11
1748687957,2025-05-31 10:39:17,63.426123,10.383175,4.57,6.01,11
1748687961,2025-05-31 10:39:21,63.426243,10.382917,4.52,6.02,11
1748687963,2025-05-31 10:39:23,63.426317,10.382789,4.51,6.06,11
1748687965,2025-05-31 10:39:25,63.4264,10.382637,4.5,5.99,10
1748687967,2025-05-31 10:39:27,63.426477,10.382504,4.45,5.91,10
1748687969,2025-05-31 10:39:29,63.426549,10.382348,4.43,5.89,9
1748687973,2025-05-31 10:39:33,63.426682,10.382402,4.4,6.05,9
1748687977,2025-05-31 10:39:37,63.426794,10.382675,4.31,5.91,8
1748687979,2025-05-31 10:39:39,63.426853,10.382832,4.29,5.87,8
1748687981,2025-05-31 10:39:41,63.426918,10.382978,4.25,5.83,8
1748687983,2025-05-31 10:39:43,63.426981,10.383124,4.21,5.77,7
1748687987,2025-05-31 10:39:47,63.427113,10.383409,1.42,2.68,7
1748687989,2025-05-31 10:39:49,63.427186,10.38356,1.57,2.58,7
1748687991,2025-05-31 10:39:51,63.427255,10.383725,2.03,2.78,7
1748687993,2025-05-31 10:39:53,63.427328,10.383886,2.19,2.71,7
1748687995,2025-05-31 10:39:55,63.427404,10.384063,4.01,5.72,7
1748687997,2025-05-31 10:39:57,63.427476,10.384234,3.98,5.71,7
1748687999,2025-05-31 10:39:59,63.427546,10.384419,3.95,5.74,7
1748688001,2025-05-31 10:40:01,63.427628,10.384584,3.91,5.6,7
1748688003,2025-05-31 10:40:03,63.427695,10.384741,3.87,5.58,7
1748688005,2025-05-31 10:40:05,63.427771,10.384898,1.4,2.61,6
1748688007,2025-05-31 10:40:07,63.427872,10.384982,1.8,2.58,6
1748688009,2025-05-31 10:40:09,63.427993,10.385038,3.88,3.19,7
1748688013,2025-05-31 10:40:13,63.428143,10.385081,3.52,2.9,6
1748688019,2025-05-31 10:40:19,63.42825,10.385101,3.84,2.74,7
1748688023,2025-05-31 10:40:23,63.428342,10.385114,3.67,3.3,7
1748688031,2025-05-31 10:40:31,63.428446,10.385031,3.57,4.17,8
1748688035,2025-05-31 10:40:35,63.42849,10.384805,3.65,5.32,9
1748688039,2025-05-31 10:40:39,63.428535,10.384546,3.68,5.04,10
1748688043,2025-05-31 10:40:43,63.428572,10.384279,3.74,6.3,11
1748688048,2025-05-31 10:40:48,63.428621,10.383931,3.82,6.4,11
1748688052,2025-05-31 10:40:52,63.428649,10.383661,3.87,6.37,11
1748688056,2025-05-31 10:40:56,63.428707,10.38336,3.95,6.94,11
1748688060,2025-05-31 10:41:00,63.428776,10.383106,3.92,7.03,11
1748688064,2025-05-31 10:41:04,63.428874,10.382782,3.77,6.57,11
1748688068,2025-05-31 10:41:08,63.42896,10.382477,3.78,6.46,12
1748688072,2025-05-31 10:41:12,63.429062,10.382189,3.77,6.26,13
1748688076,2025-05-31 10:41:16,63.429152,10.38191,3.7,5.95,15
1748688080,2025-05-31 10:41:20,63.429238,10.381541,3.71,6.24,16
1748688082,2025-05-31 10:41:22,63.429267,10.381347,3.73,6.19,15
1748688084,2025-05-31 10:41:24,63.429303,10.381154,3.74,6.24,15
1748688088,2025-05-31 10:41:28,63.42932,10.380763,3.71,6.06,14
1748688092,2025-05-31 10:41:32,63.429353,10.380405,3.74,5.92,13
1748688094,2025-05-31 10:41:34,63.4294,10.380215,3.79,6.05,13
1748688096,2025-05-31 10:41:36,63.429464,10.380055,3.8,5.94,12
1748688098,2025-05-31 10:41:38,63.429524,10.379859,3.81,5.85,12
1748688100,2025-05-31 10:41:40,63.42959,10.379672,3.8,5.77,12
1748688102,2025-05-31 10:41:42,63.429628,10.379475,3.84,6.04,11
1748688104,2025-05-31 10:41:44,63.429658,10.379259,3.82,5.94,10
1748688106,2025-05-31 10:41:46,63.429668,10.379038,3.82,5.85,10
1748688110,2025-05-31 10:41:50,63.42971,10.378634,3.82,5.89,9
1748688112,2025-05-31 10:41:52,63.429721,10.378421,3.85,5.81,9
1748688116,2025-05-31 10:41:56,63.429739,10.378021,3.86,5.78,8
1748688120,2025-05-31 10:42:00,63.429756,10.377676,3.95,6.13,9
1748688124,2025-05-31 10:42:04,63.429892,10.377487,4.01,6.18,10
1748688126,2025-05-31 10:42:06,63.429992,10.377497,4.03,6.15,10
1748688128,2025-05-31 10:42:08,63.430103,10.377506,4.07,6.18,10
1748688130,2025-05-31 10:42:10,63.430165,10.377345,4.04,6.16,10
1748688132,2025-05-31 10:42:12,63.430164,10.377107,4.02,6.08,10
1748688134,2025-05-31 10:42:14,63.430169,10.376902,4.03,6.07,10
1748688138,2025-05-31 10:42:18,63.430166,10.376533,4.02,6.03,10
1748688142,2025-05-31 10:42:22,63.430155,10.376151,4.04,6.14,10
1748688146,2025-05-31 10:42:26,63.430151,10.375755,4.06,6.11,10
1748688148,2025-05-31 10:42:28,63.430152,10.375546,4.07,6.12,10
1748688152,2025-05-31 10:42:32,63.430137,10.375176,4.1,6.17,10
1748688156,2025-05-31 10:42:36,63.430089,10.374872,4.11,6.27,11
1748688205,2025-05-31 10:43:25,63.430156,10.374732,4.15,5.74,14
1748688211,2025-05-31 10:43:31,63.430255,10.374552,4.13,5.51,12
1748688215,2025-05-31 10:43:35,63.430326,10.374402,4.12,5.68,12
1748688219,2025-05-31 10:43:39,63.430434,10.374145,4.11,5.67,10
1748688221,2025-05-31 10:43:41,63.430498,10.374004,4.08,5.66,9
1748688223,2025-05-31 10:43:43,63.430551,10.373818,4.06,5.64,9
1748688225,2025-05-31 10:43:45,63.430593,10.37361,4.03,5.55,8
1748688227,2025-05-31 10:43:47,63.430641,10.373408,4.02,5.63,8
1748688229,2025-05-31 10:43:49,63.430665,10.373178,4.03,5.85,7
1748688231,2025-05-31 10:43:51,63.430692,10.372955,4.03,5.73,7
1748688233,2025-05-31 10:43:53,63.430728,10.372735,4.05,5.57,7
1748688235,2025-05-31 10:43:55,63.430755,10.372515,4.08,5.51,6
1748688237,2025-05-31 10:43:57,63.430788,10.372303,4.1,5.51,6
1748688239,2025-05-31 10:43:59,63.430831,10.372076,4.13,5.52,7
1748688241,2025-05-31 10:44:01,63.430872,10.371838,4.14,5.46,8
1748688243,2025-05-31 10:44:03,63.430893,10.371589,4.02,6.15,9
1748688245,2025-05-31 10:44:05,63.43092,10.371378,4.03,6.15,10
