date_unix,date,lat,lon,countRate,doseRate,acc
1743520010,2025-04-01 15:06:50,63.422656,10.39224,4.79,6.71,16
1743520026,2025-04-01 15:07:06,63.422734,10.392126,4.71,6.43,22
1743520037,2025-04-01 15:07:17,63.422803,10.392328,4.72,6.46,28
1743520047,2025-04-01 15:07:27,63.422782,10.392551,4.68,6.3,9
1743520055,2025-04-01 15:07:35,63.42277,10.392752,4.64,6.11,22
1743520063,2025-04-01 15:07:43,63.422755,10.392969,4.6,6.19,16
1743520073,2025-04-01 15:07:53,63.42276,10.393217,4.49,6.01,5
1743520081,2025-04-01 15:08:01,63.422777,10.393455,4.47,5.98,4
1743520091,2025-04-01 15:08:11,63.422766,10.393689,4.39,5.76,5
1743520099,2025-04-01 15:08:19,63.422787,10.393922,4.35,5.87,5
1743520107,2025-04-01 15:08:27,63.422853,10.394117,4.36,5.96,5
1743520116,2025-04-01 15:08:36,63.422952,10.394205,4.3,5.85,5
1743520124,2025-04-01 15:08:44,63.423049,10.394183,4.28,5.6,4
1743520132,2025-04-01 15:08:52,63.42314,10.394145,4.23,5.47,4
1743520140,2025-04-01 15:09:00,63.423245,10.394108,4.16,5.65,4
1743520148,2025-04-01 15:09:08,63.423354,10.394089,4.21,5.98,4
1743520156,2025-04-01 15:09:16,63.42345,10.394056,4.2,6.09,4
1743520164,2025-04-01 15:09:24,63.423546,10.394024,4.09,5.62,4
1743520172,2025-04-01 15:09:32,63.423639,10.393986,4.04,5.37,4
1743520180,2025-04-01 15:09:40,63.423737,10.393962,4.01,5.21,4
1743520188,2025-04-01 15:09:48,63.423832,10.393935,3.95,5.26,4
1743520194,2025-04-01 15:09:54,63.423921,10.393924,3.92,5.14,4
1743520202,2025-04-01 15:10:02,63.424018,10.393877,3.89,4.84,4
1743520210,2025-04-01 15:10:10,63.424121,10.393845,3.89,4.77,4
1743520218,2025-04-01 15:10:18,63.424217,10.393803,3.89,4.76,4
1743520226,2025-04-01 15:10:26,63.424331,10.393761,3.87,4.56,4
1743520248,2025-04-01 15:10:48,63.424434,10.393741,4.02,4.87,4
1743520254,2025-04-01 15:10:54,63.424525,10.393732,4,5.05,4
1743520260,2025-04-01 15:11:00,63.424615,10.393712,4.02,5.13,4
1743520268,2025-04-01 15:11:08,63.424732,10.393704,4.13,5.33,4
1743520277,2025-04-01 15:11:17,63.424833,10.39366,4.18,5.58,4
1743520285,2025-04-01 15:11:25,63.424943,10.393643,4.18,5.59,4
1743520293,2025-04-01 15:11:33,63.425042,10.393577,4.13,5.6,4
1743520301,2025-04-01 15:11:41,63.425147,10.393558,4.17,5.63,4
1743520309,2025-04-01 15:11:49,63.425255,10.393546,4.16,5.65,4
1743520317,2025-04-01 15:11:57,63.425362,10.393539,4.16,5.6,4
1743520326,2025-04-01 15:12:06,63.425457,10.393502,4.21,5.68,4
1743520334,2025-04-01 15:12:14,63.425579,10.393452,4.23,5.85,4
1743520342,2025-04-01 15:12:22,63.425702,10.393362,4.27,5.7,4
1743520350,2025-04-01 15:12:30,63.425801,10.393271,4.32,5.75,4
1743520358,2025-04-01 15:12:38,63.425895,10.393236,4.35,5.72,4
1743520366,2025-04-01 15:12:46,63.425999,10.3932,4.41,5.77,4
1743520374,2025-04-01 15:12:54,63.426116,10.393171,4.52,6.25,4
1743520380,2025-04-01 15:13:00,63.426207,10.393181,4.62,6.32,4
1743520388,2025-04-01 15:13:08,63.426313,10.393215,4.75,6.38,4
1743520396,2025-04-01 15:13:16,63.426418,10.393248,4.84,6.22,5
1743520402,2025-04-01 15:13:22,63.426511,10.393186,4.91,6.29,5
1743520410,2025-04-01 15:13:30,63.426552,10.392961,4.93,6.19,5
1743520418,2025-04-01 15:13:38,63.426628,10.392822,5,6.18,5
1743520426,2025-04-01 15:13:46,63.426685,10.392626,5.06,6.25,5
1743520434,2025-04-01 15:13:54,63.426709,10.392354,5.11,6.34,5
1743520442,2025-04-01 15:14:02,63.426731,10.392149,5.25,6.52,5
1743520453,2025-04-01 15:14:13,63.426751,10.391932,5.29,6.43,5
1743520459,2025-04-01 15:14:19,63.426762,10.391707,5.3,6.37,6
1743520465,2025-04-01 15:14:25,63.426746,10.391499,5.4,6.45,6
1743520473,2025-04-01 15:14:33,63.426727,10.3913,5.49,6.78,6
1743520485,2025-04-01 15:14:45,63.426802,10.39113,5.59,7.01,7
1743520496,2025-04-01 15:14:56,63.426928,10.391139,5.64,6.81,8
1743520502,2025-04-01 15:15:02,63.427025,10.391148,5.71,6.93,8
1743520508,2025-04-01 15:15:08,63.427153,10.391216,5.67,6.67,7
1743520521,2025-04-01 15:15:21,63.427257,10.391221,5.54,6.25,8
1743520527,2025-04-01 15:15:27,63.42736,10.391087,5.5,6.05,10
1743520533,2025-04-01 15:15:33,63.427458,10.391227,5.49,6.04,9
1743520542,2025-04-01 15:15:42,63.427533,10.391384,5.49,5.97,8
1743520550,2025-04-01 15:15:50,63.427634,10.39136,5.54,6.07,7
1743520558,2025-04-01 15:15:58,63.427712,10.391525,5.54,6.1,7
1743520566,2025-04-01 15:16:06,63.427765,10.391756,5.63,6.1,6
1743520574,2025-04-01 15:16:14,63.427815,10.391925,5.7,6.27,6
1743520582,2025-04-01 15:16:22,63.427897,10.392025,5.72,6.48,6
1743520590,2025-04-01 15:16:30,63.428003,10.392081,5.81,6.42,6
1743520604,2025-04-01 15:16:44,63.428115,10.39193,5.9,6.73,9
1743520608,2025-04-01 15:16:48,63.428179,10.391769,5.93,6.82,10
1743520616,2025-04-01 15:16:56,63.428221,10.391527,5.91,6.84,11
1743520624,2025-04-01 15:17:04,63.428249,10.39131,5.92,7.2,11
1743520632,2025-04-01 15:17:12,63.428335,10.391253,5.89,7.09,10
1743520640,2025-04-01 15:17:20,63.428459,10.391254,5.78,6.96,10
1743520655,2025-04-01 15:17:35,63.428563,10.391304,5.66,6.94,8
1743520663,2025-04-01 15:17:43,63.428676,10.391151,5.64,6.75,10
1743520669,2025-04-01 15:17:49,63.428771,10.391037,5.61,6.71,11
1743520675,2025-04-01 15:17:55,63.428876,10.390989,5.61,6.78,11
1743520685,2025-04-01 15:18:05,63.428971,10.390944,5.72,7.01,9
1743520693,2025-04-01 15:18:13,63.429058,10.39089,5.67,6.8,8
1743520701,2025-04-01 15:18:21,63.429159,10.390832,5.68,6.87,9
1743520709,2025-04-01 15:18:29,63.429202,10.390637,5.76,7.15,8
1743520722,2025-04-01 15:18:42,63.429314,10.390609,5.73,7.46,7
1743520734,2025-04-01 15:18:54,63.429416,10.390606,5.66,7.23,8
1743520742,2025-04-01 15:19:02,63.429502,10.390551,5.56,7.25,10
1743520753,2025-04-01 15:19:13,63.429604,10.390558,5.5,7.3,9
1743520761,2025-04-01 15:19:21,63.42971,10.390571,5.54,7.36,9
1743520770,2025-04-01 15:19:30,63.429799,10.390454,5.57,7.42,8
1743520778,2025-04-01 15:19:38,63.429841,10.390257,5.6,7.78,8
1743520786,2025-04-01 15:19:46,63.429798,10.390011,5.62,7.93,8
1743520792,2025-04-01 15:19:52,63.429872,10.389897,5.66,8.34,8
1743520800,2025-04-01 15:20:00,63.429975,10.389909,5.75,8.59,9
1743520810,2025-04-01 15:20:10,63.430056,10.389791,5.74,8.51,8
1743520818,2025-04-01 15:20:18,63.430065,10.389528,5.69,8.64,7
1743520827,2025-04-01 15:20:27,63.43007,10.389282,5.68,8.39,6
1743520837,2025-04-01 15:20:37,63.430078,10.389021,5.66,8.32,5
1743520843,2025-04-01 15:20:43,63.430086,10.388811,5.65,8.35,5
1743520851,2025-04-01 15:20:51,63.430102,10.388609,5.7,8.31,5
1743520860,2025-04-01 15:21:00,63.430191,10.388463,5.67,8.12,6
1743520868,2025-04-01 15:21:08,63.430286,10.388366,5.63,8.01,7
1743520876,2025-04-01 15:21:16,63.430406,10.388405,5.67,7.75,7
1743520885,2025-04-01 15:21:25,63.430488,10.388563,5.61,7.39,7
1743520894,2025-04-01 15:21:34,63.430513,10.388792,5.68,7.61,6
1743520903,2025-04-01 15:21:43,63.430515,10.388998,5.64,7.81,6
1743520911,2025-04-01 15:21:51,63.430532,10.389211,5.62,7.84,5
1743520921,2025-04-01 15:22:01,63.430566,10.38945,5.57,8.01,5
1743520929,2025-04-01 15:22:09,63.430578,10.389675,5.56,8.16,5
1743520937,2025-04-01 15:22:17,63.430584,10.389901,5.43,7.78,6
1743520945,2025-04-01 15:22:25,63.430593,10.390115,5.41,7.89,5
1743520953,2025-04-01 15:22:33,63.430605,10.390392,5.28,7.8,5
1743520961,2025-04-01 15:22:41,63.43069,10.39049,5.24,7.84,5
1743520969,2025-04-01 15:22:49,63.430777,10.390541,5.22,7.76,5
1743520981,2025-04-01 15:23:01,63.43088,10.390478,5.19,7.78,6
1743520989,2025-04-01 15:23:09,63.430975,10.390449,5.16,7.71,7
1743520999,2025-04-01 15:23:19,63.431083,10.390385,5.09,7.73,8
1743521007,2025-04-01 15:23:27,63.43119,10.39034,5.06,7.5,9
1743521015,2025-04-01 15:23:35,63.431299,10.390287,5,7.33,10
1743521025,2025-04-01 15:23:45,63.431403,10.390243,4.98,7.37,8
1743521033,2025-04-01 15:23:53,63.431505,10.390207,4.95,7.11,9
1743521041,2025-04-01 15:24:01,63.431604,10.390156,4.94,7.06,8
1743521047,2025-04-01 15:24:07,63.431707,10.39008,4.91,6.95,9
1743521055,2025-04-01 15:24:15,63.431803,10.390063,4.8,6.48,9
1743521064,2025-04-01 15:24:24,63.431873,10.390207,4.77,6.3,8
1743521072,2025-04-01 15:24:32,63.431907,10.390426,4.74,6.39,7
1743521080,2025-04-01 15:24:40,63.431936,10.390634,4.68,6.41,6
1743521088,2025-04-01 15:24:48,63.431998,10.390885,4.61,6.45,6
1743521091,2025-04-01 15:24:51,63.432005,10.390954,4.61,6.34,6
1743521100,2025-04-01 15:25:00,63.43203,10.391174,4.56,6.22,6
1743521108,2025-04-01 15:25:08,63.432046,10.391377,4.41,6.28,7
1743521116,2025-04-01 15:25:16,63.432049,10.391581,4.34,6.1,6
1743521127,2025-04-01 15:25:27,63.432123,10.391724,4.33,6.14,6
1743521162,2025-04-01 15:26:02,63.432215,10.391849,4.16,5.36,9
1743521171,2025-04-01 15:26:11,63.432285,10.391688,4.15,5.25,21
1743521201,2025-04-01 15:26:41,63.432251,10.391501,4.07,5.05,29
1743521228,2025-04-01 15:27:08,63.432306,10.391682,4.14,5,18
1743521254,2025-04-01 15:27:34,63.432224,10.391784,4.1,5.02,16
1743521268,2025-04-01 15:27:48,63.432183,10.391502,4.15,5.43,17
1743521277,2025-04-01 15:27:57,63.432166,10.391701,4.18,5.56,11
1743521300,2025-04-01 15:28:20,63.432266,10.391806,4.19,5.43,9
1743521313,2025-04-01 15:28:33,63.432376,10.391822,4.21,5.73,8
1743521323,2025-04-01 15:28:43,63.432485,10.391879,4.27,5.74,8
1743521333,2025-04-01 15:28:53,63.432594,10.391925,4.34,5.83,9
1743521343,2025-04-01 15:29:03,63.432703,10.39195,4.46,6.03,9
1743521352,2025-04-01 15:29:12,63.432796,10.391896,4.57,6.63,9
1743521360,2025-04-01 15:29:20,63.432895,10.391797,4.64,6.6,10
1743521392,2025-04-01 15:29:52,63.432989,10.391753,4.74,7.63,7
1743521400,2025-04-01 15:30:00,63.43303,10.391936,4.73,7.69,8
1743521409,2025-04-01 15:30:09,63.433067,10.392139,4.7,7.7,9
1743521418,2025-04-01 15:30:18,63.433088,10.392365,4.19,5.39,8
1743521426,2025-04-01 15:30:26,63.433094,10.392571,4.18,5.24,7
1743521434,2025-04-01 15:30:34,63.433124,10.392784,4.19,5.65,7
1743521471,2025-04-01 15:31:11,63.433109,10.39304,4.46,6.03,33
1743521543,2025-04-01 15:32:23,63.433155,10.392813,3.87,4.92,37
1743521585,2025-04-01 15:33:05,63.433061,10.392901,3.97,5.99,36
1743521648,2025-04-01 15:34:08,63.433115,10.393118,3.87,5.78,9
1743521660,2025-04-01 15:34:20,63.433087,10.393336,3.97,5.91,7
1743521683,2025-04-01 15:34:43,63.433082,10.393576,4.19,5.73,6
1743521692,2025-04-01 15:34:52,63.433052,10.393778,4.26,5.83,6
1743521706,2025-04-01 15:35:06,63.432968,10.393932,4.52,6.2,8
1743521714,2025-04-01 15:35:14,63.432856,10.394004,4.58,6.44,9
1743521730,2025-04-01 15:35:30,63.432769,10.39408,3.44,4.66,17
1743521784,2025-04-01 15:36:24,63.432731,10.394291,3.43,5.79,38
1743521793,2025-04-01 15:36:33,63.432676,10.394532,3.29,5.44,74
1743521797,2025-04-01 15:36:37,63.432804,10.394483,3.28,5.36,50
1743521857,2025-04-01 15:37:37,63.432917,10.394576,3.31,5.89,32
1743522081,2025-04-01 15:41:21,63.432834,10.394489,3.14,4.19,30
1743522187,2025-04-01 15:43:07,63.4328,10.394239,3.06,4.45,15
1743522191,2025-04-01 15:43:11,63.432726,10.394044,3.04,4.43,6
1743522199,2025-04-01 15:43:19,63.432623,10.394033,3.12,4.35,6
1743522207,2025-04-01 15:43:27,63.432521,10.394096,3.11,4.23,5
1743522215,2025-04-01 15:43:35,63.432419,10.394125,6.87,7.71,6
1743522223,2025-04-01 15:43:43,63.432317,10.394139,7.07,6.1,6
1743522229,2025-04-01 15:43:49,63.432225,10.394084,7.66,6.36,7
1743522240,2025-04-01 15:44:00,63.432149,10.393956,7.07,5.44,6
1743522253,2025-04-01 15:44:13,63.432068,10.393812,7.35,6.1,6
1743522263,2025-04-01 15:44:23,63.432053,10.393552,6.94,6.36,5
1743522274,2025-04-01 15:44:34,63.432031,10.393329,6.59,6.87,6
1743522280,2025-04-01 15:44:40,63.432019,10.393109,6.33,6.52,6
1743522288,2025-04-01 15:44:48,63.431991,10.392864,6.05,6.08,7
1743522296,2025-04-01 15:44:56,63.431977,10.392616,5.8,5.81,8
1743522304,2025-04-01 15:45:04,63.431967,10.392383,5.72,5.53,9
1743522314,2025-04-01 15:45:14,63.43195,10.392186,5.6,5.25,9
1743522372,2025-04-01 15:46:12,63.431849,10.392259,4.79,5.08,19
1743522486,2025-04-01 15:48:06,63.431844,10.392492,4,3.96,20
1743522525,2025-04-01 15:48:45,63.431834,10.392293,4.25,4.64,16
1743522577,2025-04-01 15:49:37,63.4319,10.392144,3.95,4.21,14
1743522583,2025-04-01 15:49:43,63.43186,10.391941,3.96,4.02,15
1743522593,2025-04-01 15:49:53,63.431774,10.391849,3.92,3.88,12
1743522601,2025-04-01 15:50:01,63.431675,10.391892,3.94,3.89,10
1743522609,2025-04-01 15:50:09,63.431566,10.391896,3.95,3.92,9
1743522615,2025-04-01 15:50:15,63.431476,10.391884,4.01,3.93,8
1743522623,2025-04-01 15:50:23,63.431374,10.391802,4.09,3.95,7
1743522631,2025-04-01 15:50:31,63.431283,10.391797,4.19,4.26,6
1743522637,2025-04-01 15:50:37,63.431184,10.391796,4.2,4.24,7
1743522656,2025-04-01 15:50:56,63.431094,10.391849,4.24,4.64,7
