date_unix,date,lat,lon,countRate,doseRate,acc
1741469240,2025-03-08 21:27:20,63.422761,10.392818,4.86,6,22
1741469264,2025-03-08 21:27:44,63.422755,10.393082,4.75,6.13,5
1741469270,2025-03-08 21:27:50,63.422724,10.393273,4.7,5.92,6
1741469280,2025-03-08 21:28:00,63.422734,10.393549,4.6,5.87,8
1741469290,2025-03-08 21:28:10,63.422737,10.393826,4.58,6.09,8
1741469301,2025-03-08 21:28:21,63.42266,10.393962,4.55,6.07,7
1741469314,2025-03-08 21:28:34,63.422734,10.394131,4.52,5.92,5
1741469329,2025-03-08 21:28:49,63.422826,10.394134,4.53,5.85,5
1741469339,2025-03-08 21:28:59,63.422937,10.39407,4.53,5.81,6
1741469348,2025-03-08 21:29:08,63.42303,10.394094,4.42,5.63,6
1741469354,2025-03-08 21:29:14,63.423125,10.394061,4.43,5.64,6
1741469362,2025-03-08 21:29:22,63.423221,10.394029,4.42,5.55,6
1741469370,2025-03-08 21:29:30,63.423338,10.394032,4.37,5.26,6
1741469378,2025-03-08 21:29:38,63.423441,10.393965,4.35,5.16,5
1741469386,2025-03-08 21:29:46,63.423533,10.393941,4.35,5.14,5
1741469394,2025-03-08 21:29:54,63.423626,10.393921,4.3,5.13,5
1741469402,2025-03-08 21:30:02,63.423737,10.39388,4.31,5.18,5
1741469410,2025-03-08 21:30:10,63.423858,10.393854,4.3,5.06,5
1741469418,2025-03-08 21:30:18,63.423983,10.393802,4.3,5.07,5
1741469428,2025-03-08 21:30:28,63.424095,10.393791,4.26,5.01,5
1741469437,2025-03-08 21:30:37,63.424194,10.393753,4.33,5.15,5
1741469445,2025-03-08 21:30:45,63.424312,10.393707,4.3,5.11,5
1741469453,2025-03-08 21:30:53,63.424414,10.393693,4.3,5.35,4
1741469459,2025-03-08 21:30:59,63.424511,10.393693,4.25,5.44,4
1741469467,2025-03-08 21:31:07,63.424606,10.393648,4.29,5.41,4
1741469475,2025-03-08 21:31:15,63.424709,10.393592,4.32,5.71,4
1741469483,2025-03-08 21:31:23,63.424805,10.393564,4.37,5.81,4
1741469489,2025-03-08 21:31:29,63.424897,10.393537,4.38,5.8,3
1741469497,2025-03-08 21:31:37,63.425006,10.393517,4.31,5.84,3
1741469503,2025-03-08 21:31:43,63.425104,10.393497,4.3,5.6,3
1741469511,2025-03-08 21:31:51,63.4252,10.393481,4.32,5.51,3
1741469521,2025-03-08 21:32:01,63.425303,10.393458,4.44,5.63,3
1741469533,2025-03-08 21:32:13,63.425403,10.393452,4.62,5.9,3
1741469541,2025-03-08 21:32:21,63.425493,10.393424,4.74,5.86,3
1741469551,2025-03-08 21:32:31,63.425604,10.393344,4.82,5.76,4
1741469560,2025-03-08 21:32:40,63.425707,10.393259,4.86,5.75,4
1741469568,2025-03-08 21:32:48,63.425795,10.393195,4.89,5.75,4
1741469574,2025-03-08 21:32:54,63.425895,10.393206,4.91,5.86,4
1741469584,2025-03-08 21:33:04,63.425991,10.393203,4.92,6,5
1741469593,2025-03-08 21:33:13,63.426091,10.393266,4.95,6.14,5
1741469601,2025-03-08 21:33:21,63.426199,10.393341,5.05,6.21,5
1741469611,2025-03-08 21:33:31,63.426296,10.393381,5.09,5.86,5
1741469619,2025-03-08 21:33:39,63.4264,10.393363,5.03,5.68,6
1741469627,2025-03-08 21:33:47,63.426496,10.393278,5.12,5.9,6
1741469635,2025-03-08 21:33:55,63.426592,10.39315,5.2,6.1,6
1741469647,2025-03-08 21:34:07,63.426691,10.39317,5.36,5.98,5
1741469655,2025-03-08 21:34:15,63.426802,10.393255,5.45,6.01,6
1741469661,2025-03-08 21:34:21,63.426895,10.393396,5.48,5.67,6
1741469667,2025-03-08 21:34:27,63.427004,10.393369,5.55,5.94,6
1741469675,2025-03-08 21:34:35,63.427098,10.393301,5.66,6.23,5
1741469686,2025-03-08 21:34:46,63.427194,10.393325,5.77,6.86,5
1741469697,2025-03-08 21:34:57,63.427305,10.393338,5.79,6.7,6
1741469709,2025-03-08 21:35:09,63.427365,10.393187,5.8,6.62,6
1741469718,2025-03-08 21:35:18,63.42745,10.39299,5.81,6.72,7
1741469733,2025-03-08 21:35:33,63.42755,10.39301,5.73,6.57,6
1741469741,2025-03-08 21:35:41,63.427648,10.393058,5.66,6.45,7
