date_unix,date,lat,lon,countRate,doseRate,acc
1740677728,2025-02-27 17:35:28,63.417319,10.405946,8.4,9.92,19
1740677740,2025-02-27 17:35:40,63.417361,10.405745,7.91,10.11,8
1740677748,2025-02-27 17:35:48,63.417408,10.405525,7.43,10.11,12
1740677756,2025-02-27 17:35:56,63.41748,10.405316,8.57,10.91,12
1740677764,2025-02-27 17:36:04,63.417571,10.405229,8.2,9.85,13
1740677773,2025-02-27 17:36:13,63.417663,10.405229,5.28,8.51,11
1740677784,2025-02-27 17:36:24,63.417768,10.405233,5.29,8.44,9
1740677795,2025-02-27 17:36:35,63.417863,10.405177,5.38,9.02,8
1740677806,2025-02-27 17:36:46,63.417832,10.404957,5.47,8.44,7
1740677815,2025-02-27 17:36:55,63.417805,10.404716,5.87,8.51,7
1740677819,2025-02-27 17:36:59,63.417897,10.404643,5.92,8.45,9
1740677825,2025-02-27 17:37:05,63.417997,10.404519,6.11,8.73,11
1740677831,2025-02-27 17:37:11,63.418104,10.404331,6.22,8.51,11
1740677837,2025-02-27 17:37:17,63.418167,10.404149,6.73,8.94,11
1740677845,2025-02-27 17:37:25,63.418256,10.404093,5.38,8.66,11
1740677853,2025-02-27 17:37:33,63.418347,10.404059,5.47,8.44,10
1740677861,2025-02-27 17:37:41,63.418366,10.403787,5.73,8.68,9
1740677869,2025-02-27 17:37:49,63.418344,10.403574,5.93,8.63,8
1740677875,2025-02-27 17:37:55,63.418349,10.403353,5.9,8.65,7
1740677881,2025-02-27 17:38:01,63.41832,10.403134,5.95,8.39,6
1740677890,2025-02-27 17:38:10,63.418289,10.402934,6.09,8.77,6
1740677898,2025-02-27 17:38:18,63.418235,10.402749,6.14,8.69,5
1740677906,2025-02-27 17:38:26,63.418326,10.402602,6.28,8.44,5
1740677912,2025-02-27 17:38:32,63.418427,10.402479,14.56,17.4,5
1740677920,2025-02-27 17:38:40,63.41852,10.402418,18.5,22.39,6
1740677948,2025-02-27 17:39:08,63.418628,10.402035,9.62,11.98,16
1740678110,2025-02-27 17:41:50,63.418624,10.402244,7.25,8.06,14
1740678433,2025-02-27 17:47:13,63.418673,10.402061,7.41,8.77,16
1740678880,2025-02-27 17:54:40,63.418768,10.402079,7.13,9.95,48
1740678902,2025-02-27 17:55:02,63.418643,10.402184,7.25,10.38,17
1740678905,2025-02-27 17:55:05,63.418766,10.401969,7.27,10.46,41
1740678924,2025-02-27 17:55:24,63.418652,10.402165,7.25,10.31,29
1740678928,2025-02-27 17:55:28,63.418743,10.402017,7.27,10.11,43
1740678986,2025-02-27 17:56:26,63.418644,10.402166,7.45,10.27,14
1740679308,2025-02-27 18:01:48,63.418347,10.402522,7.3,8.46,23
1740679321,2025-02-27 18:02:01,63.418603,10.402392,19.1,20,43
1740679325,2025-02-27 18:02:05,63.418486,10.402548,16.39,14.25,15
1740679331,2025-02-27 18:02:11,63.418598,10.402437,14.2,14.52,5
1740679339,2025-02-27 18:02:19,63.418681,10.402315,15.25,14.11,5
1740679349,2025-02-27 18:02:29,63.418754,10.402158,6.31,9.18,4
1740679357,2025-02-27 18:02:37,63.418825,10.402017,5,5.65,5
1740679365,2025-02-27 18:02:45,63.418884,10.401842,4.68,4.04,5
1740679373,2025-02-27 18:02:53,63.418938,10.401634,5.56,5.44,5
1740679383,2025-02-27 18:03:03,63.418968,10.401408,5.31,6.76,5
1740679394,2025-02-27 18:03:14,63.419051,10.401259,15.25,11.63,4
1740679404,2025-02-27 18:03:24,63.419152,10.401145,14.21,13.51,5
1740679412,2025-02-27 18:03:32,63.419249,10.401091,11.53,10.7,6
1740679421,2025-02-27 18:03:41,63.419327,10.400987,7.5,6.16,6
1740679429,2025-02-27 18:03:49,63.419446,10.401056,7.14,6.23,4
1740679441,2025-02-27 18:04:01,63.419536,10.400983,5.84,6.5,4
1740679449,2025-02-27 18:04:09,63.419638,10.401017,5.25,4.68,4
1740679457,2025-02-27 18:04:17,63.41973,10.401038,4.47,3.09,4
1740679467,2025-02-27 18:04:27,63.419826,10.401128,4.55,4.76,4
1740679476,2025-02-27 18:04:36,63.419899,10.401253,4.32,4.57,3
1740679484,2025-02-27 18:04:44,63.419987,10.40133,4.21,4.61,3
1740679492,2025-02-27 18:04:52,63.420081,10.401243,4.02,4.5,4
1740679501,2025-02-27 18:05:01,63.420187,10.401163,3.95,4.59,4
1740679511,2025-02-27 18:05:11,63.420284,10.401061,3.95,4.79,4
1740679519,2025-02-27 18:05:19,63.420385,10.400967,3.93,4.85,4
1740679527,2025-02-27 18:05:27,63.420481,10.400867,3.85,4.66,4
1740679536,2025-02-27 18:05:36,63.420567,10.400777,3.93,5.02,4
1740679545,2025-02-27 18:05:45,63.420659,10.400679,3.88,4.69,4
1740679553,2025-02-27 18:05:53,63.420745,10.400578,3.89,5,4
1740679561,2025-02-27 18:06:01,63.420835,10.400487,3.91,4.88,4
1740679569,2025-02-27 18:06:09,63.420908,10.400363,3.91,5.27,4
1740679578,2025-02-27 18:06:18,63.420995,10.400243,3.94,5.28,4
1740679588,2025-02-27 18:06:28,63.421079,10.400106,3.95,5.31,5
1740679597,2025-02-27 18:06:37,63.421158,10.399959,3.93,5.3,5
1740679605,2025-02-27 18:06:45,63.421223,10.399818,3.9,5.21,5
1740679611,2025-02-27 18:06:51,63.421296,10.399702,3.84,5.15,5
1740679619,2025-02-27 18:06:59,63.421357,10.399537,3.8,4.83,5
1740679628,2025-02-27 18:07:08,63.421405,10.399362,3.8,4.82,5
1740679637,2025-02-27 18:07:17,63.421461,10.399176,3.81,5.11,5
1740679647,2025-02-27 18:07:27,63.4215,10.398944,3.8,5.23,5
1740679656,2025-02-27 18:07:36,63.421531,10.398744,3.88,5.39,5
1740679664,2025-02-27 18:07:44,63.421549,10.398531,3.89,5.58,5
1740679674,2025-02-27 18:07:54,63.42159,10.398293,3.88,5.33,4
1740679682,2025-02-27 18:08:02,63.42164,10.398123,3.91,5.31,4
1740679691,2025-02-27 18:08:11,63.421674,10.397934,3.93,5.43,4
1740679699,2025-02-27 18:08:19,63.421715,10.397746,3.95,5.69,4
1740679708,2025-02-27 18:08:28,63.421754,10.39754,3.96,5.68,5
1740679717,2025-02-27 18:08:37,63.421772,10.397297,3.92,5.56,5
1740679727,2025-02-27 18:08:47,63.421814,10.397093,3.95,5.44,5
1740679737,2025-02-27 18:08:57,63.421858,10.396877,3.93,5.55,4
1740679745,2025-02-27 18:09:05,63.421913,10.396688,3.9,5.34,4
1740679755,2025-02-27 18:09:15,63.42195,10.396477,3.85,5.05,4
1740679763,2025-02-27 18:09:23,63.421984,10.396287,3.86,5.17,4
1740679772,2025-02-27 18:09:32,63.422014,10.396095,3.8,5.4,4
1740679781,2025-02-27 18:09:41,63.42207,10.395901,3.8,5.61,4
1740679789,2025-02-27 18:09:49,63.4221,10.395699,3.87,5.24,4
1740679799,2025-02-27 18:09:59,63.422158,10.395523,3.91,5.69,5
1740679809,2025-02-27 18:10:09,63.422194,10.395288,3.94,5.66,5
1740679819,2025-02-27 18:10:19,63.422226,10.39506,3.95,5.56,5
