date_unix,date,lat,lon,countRate,doseRate,acc
1738364379,2025-01-31 22:59:39,63.410513,10.427975,5.68,8.19,16
1738364418,2025-01-31 23:00:18,63.410393,10.428092,5.32,7.51,16
1738364446,2025-01-31 23:00:46,63.410428,10.428376,5.04,6.88,17
1738364459,2025-01-31 23:00:59,63.410371,10.428149,4.83,6.33,14
1738364472,2025-01-31 23:01:12,63.410281,10.428253,4.83,6.31,6
1738364480,2025-01-31 23:01:20,63.410189,10.428256,4.79,6.17,5
1738364488,2025-01-31 23:01:28,63.410091,10.428241,4.74,6.17,6
1738364496,2025-01-31 23:01:36,63.40999,10.428233,4.64,6.07,5
1738364504,2025-01-31 23:01:44,63.40989,10.42823,4.56,6.14,4
1738364512,2025-01-31 23:01:52,63.409787,10.428134,4.52,6.28,4
1738364522,2025-01-31 23:02:02,63.409744,10.427915,4.47,5.94,4
1738364532,2025-01-31 23:02:12,63.409762,10.427682,4.35,5.7,4
1738364541,2025-01-31 23:02:21,63.409792,10.427484,4.27,5.8,4
1738364549,2025-01-31 23:02:29,63.409847,10.427324,4.22,5.73,4
1738364555,2025-01-31 23:02:35,63.409894,10.42715,4.2,5.67,4
1738364564,2025-01-31 23:02:44,63.409957,10.42697,4.13,5.43,4
1738364572,2025-01-31 23:02:52,63.410046,10.426814,4.03,5.27,4
1738364582,2025-01-31 23:03:02,63.410115,10.426634,3.9,4.86,4
1738364592,2025-01-31 23:03:12,63.410188,10.42649,3.88,4.69,4
1738364600,2025-01-31 23:03:20,63.41026,10.426335,3.89,4.74,4
1738364608,2025-01-31 23:03:28,63.410329,10.426171,3.86,4.65,4
1738364616,2025-01-31 23:03:36,63.410403,10.425998,3.86,4.72,4
1738364625,2025-01-31 23:03:45,63.410483,10.425838,3.83,4.59,4
1738364635,2025-01-31 23:03:55,63.41056,10.425672,3.74,4.68,4
1738364645,2025-01-31 23:04:05,63.410646,10.425525,3.82,4.86,4
1738364655,2025-01-31 23:04:15,63.410731,10.425321,3.85,4.8,4
1738364664,2025-01-31 23:04:24,63.410735,10.425116,3.86,4.87,5
1738364674,2025-01-31 23:04:34,63.410699,10.424902,3.86,5.39,5
1738364684,2025-01-31 23:04:44,63.410674,10.424697,3.86,5.6,5
1738364694,2025-01-31 23:04:54,63.410646,10.424465,3.81,5.52,5
1738364704,2025-01-31 23:05:04,63.410621,10.424267,3.8,5.49,5
