date_unix,date,lat,lon,countRate,doseRate,acc
1736540643,2025-01-10 20:24:03,63.440267,10.401883,3.78,2.87,32
1736540651,2025-01-10 20:24:11,63.440166,10.401692,3.56,2.37,21
1736540653,2025-01-10 20:24:13,63.440035,10.401167,3.6,3.05,17
1736540659,2025-01-10 20:24:19,63.440031,10.400932,3.83,3.72,26
1736540668,2025-01-10 20:24:28,63.43988,10.400825,3.96,3.87,14
1736540681,2025-01-10 20:24:41,63.43997,10.400791,3.91,4.2,12
1736540693,2025-01-10 20:24:53,63.440059,10.400707,3.97,5.69,18
1736540702,2025-01-10 20:25:02,63.440163,10.400808,3.81,5.32,23
1736540708,2025-01-10 20:25:08,63.440237,10.401062,3.89,5.42,26
1736540712,2025-01-10 20:25:12,63.440269,10.40128,3.98,5.75,28
1736540718,2025-01-10 20:25:18,63.44026,10.401613,4.02,6.09,31
1736540722,2025-01-10 20:25:22,63.440269,10.401909,4.06,6.47,34
1736540728,2025-01-10 20:25:28,63.440335,10.40211,4.31,6.79,34
1736540734,2025-01-10 20:25:34,63.440399,10.402324,4.39,6.57,32
1736540740,2025-01-10 20:25:40,63.440436,10.402542,4.51,6.59,29
1736540746,2025-01-10 20:25:46,63.440475,10.402746,4.68,6.7,26
1736540752,2025-01-10 20:25:52,63.440527,10.402992,4.76,7.04,24
1736540758,2025-01-10 20:25:58,63.440548,10.403209,4.82,7.05,22
1736540764,2025-01-10 20:26:04,63.440574,10.403416,4.94,7.24,19
1736540772,2025-01-10 20:26:12,63.440571,10.403627,5.11,7.4,18
1736540785,2025-01-10 20:26:25,63.440497,10.403784,5.15,7.93,18
1736540791,2025-01-10 20:26:31,63.440385,10.403872,5.23,8.26,18
1736540800,2025-01-10 20:26:40,63.440292,10.403998,5.31,8.14,16
1736540867,2025-01-10 20:27:47,63.440359,10.404206,6,9.53,23
1736540982,2025-01-10 20:29:42,63.440444,10.404347,6.68,10.1,24
1736541021,2025-01-10 20:30:21,63.440358,10.404192,6.72,10.04,21
1736541046,2025-01-10 20:30:46,63.440412,10.404363,6.85,9.42,22
1736541066,2025-01-10 20:31:06,63.440297,10.404115,6.99,9.78,30
1736541107,2025-01-10 20:31:47,63.440425,10.404133,7.12,9.29,18
1736541253,2025-01-10 20:34:13,63.440172,10.403969,3.29,4.49,20
1736541257,2025-01-10 20:34:17,63.440272,10.403944,3.28,4.48,14
1736541284,2025-01-10 20:34:44,63.440366,10.403965,3.54,4.56,12
1736541309,2025-01-10 20:35:09,63.440252,10.4039,3.72,4.82,18
1736541317,2025-01-10 20:35:17,63.440161,10.403751,3.81,4.45,19
1736541329,2025-01-10 20:35:29,63.44006,10.403597,3.85,4.4,18
1736541347,2025-01-10 20:35:47,63.439953,10.403663,3.97,4.51,19
1736541356,2025-01-10 20:35:56,63.439841,10.403761,3.91,4.49,20
1736541360,2025-01-10 20:36:00,63.43975,10.403813,3.93,4.61,19
1736541369,2025-01-10 20:36:09,63.43967,10.403961,3.89,4.58,16
1736541377,2025-01-10 20:36:17,63.439568,10.404039,3.93,4.72,15
1736541385,2025-01-10 20:36:25,63.43947,10.404063,3.93,4.75,13
1736541393,2025-01-10 20:36:33,63.439368,10.404153,3.91,4.68,11
1736541399,2025-01-10 20:36:39,63.439323,10.404343,3.97,4.93,10
1736541409,2025-01-10 20:36:49,63.439326,10.404559,3.94,4.54,9
1736541418,2025-01-10 20:36:58,63.439351,10.404767,3.92,4.53,8
1736541427,2025-01-10 20:37:07,63.43937,10.404969,3.94,4.88,7
1736541435,2025-01-10 20:37:15,63.439325,10.405174,3.9,4.71,7
1736541444,2025-01-10 20:37:24,63.43927,10.405354,3.96,4.83,6
1736541453,2025-01-10 20:37:33,63.439191,10.40553,4.04,4.86,7
1736541463,2025-01-10 20:37:43,63.43911,10.405697,4.08,5.03,7
1736541471,2025-01-10 20:37:51,63.43904,10.405845,4.07,5.15,7
1736541480,2025-01-10 20:38:00,63.438961,10.405975,4.08,4.84,6
1736541488,2025-01-10 20:38:08,63.438887,10.406135,4.09,4.94,6
1736541496,2025-01-10 20:38:16,63.43881,10.406281,4.09,5.24,6
1736541504,2025-01-10 20:38:24,63.43873,10.406414,4.12,5.43,6
1736541513,2025-01-10 20:38:33,63.438645,10.406565,4.1,5.45,5
1736541523,2025-01-10 20:38:43,63.438558,10.406713,4.02,5.38,5
1736541533,2025-01-10 20:38:53,63.438455,10.406794,4,5.37,5
1736541543,2025-01-10 20:39:03,63.438352,10.406785,3.9,5.38,6
1736541550,2025-01-10 20:39:10,63.438259,10.406842,3.85,5.35,6
1736541560,2025-01-10 20:39:20,63.438171,10.406889,3.77,5.41,6
1736541569,2025-01-10 20:39:29,63.438085,10.40696,3.7,5.2,7
1736541576,2025-01-10 20:39:36,63.437985,10.406967,3.66,5.12,7
1736541598,2025-01-10 20:39:58,63.437893,10.407072,3.67,5.02,6
1736541609,2025-01-10 20:40:09,63.437838,10.407302,3.66,4.93,6
1736541623,2025-01-10 20:40:23,63.437767,10.407466,3.77,5.22,6
1736541633,2025-01-10 20:40:33,63.437672,10.40742,3.79,5.09,6
1736541644,2025-01-10 20:40:44,63.437571,10.407336,3.84,5.24,5
1736541652,2025-01-10 20:40:52,63.437478,10.407294,3.86,5.03,5
1736541660,2025-01-10 20:41:00,63.437386,10.407218,3.81,5.07,5
1736541668,2025-01-10 20:41:08,63.4373,10.407149,3.84,5.28,5
1736541681,2025-01-10 20:41:21,63.437187,10.407148,3.9,5.53,4
