date_unix,date,lat,lon,countRate,doseRate,acc
1740066662,2025-02-20 15:51:02,63.4214,10.399317,4.21,4.18,10
1740066674,2025-02-20 15:51:14,63.421449,10.399131,4.03,3.74,9
1740066686,2025-02-20 15:51:26,63.421405,10.398913,4,3.93,6
1740066696,2025-02-20 15:51:36,63.421314,10.398776,4.2,4.63,6
1740066705,2025-02-20 15:51:45,63.421233,10.398639,4.44,4.87,6
1740066713,2025-02-20 15:51:53,63.421136,10.398576,4.46,5.07,7
1740066721,2025-02-20 15:52:01,63.421048,10.39852,4.5,5.27,7
1740066730,2025-02-20 15:52:10,63.420949,10.39845,4.69,5.23,7
1740066738,2025-02-20 15:52:18,63.420879,10.398286,4.92,5.75,7
1740066748,2025-02-20 15:52:28,63.420831,10.39806,4.98,5.76,7
1740066757,2025-02-20 15:52:37,63.4208,10.397865,5.05,5.88,7
1740066765,2025-02-20 15:52:45,63.420776,10.397625,5.06,6.1,7
1740066774,2025-02-20 15:52:54,63.420748,10.397401,5.11,6.69,7
1740066783,2025-02-20 15:53:03,63.420713,10.397199,5.17,6.86,7
1740066793,2025-02-20 15:53:13,63.420713,10.396947,5.21,6.75,7
1740066799,2025-02-20 15:53:19,63.420702,10.396743,5.25,6.83,7
1740066807,2025-02-20 15:53:27,63.420685,10.396507,5.34,6.9,7
1740066815,2025-02-20 15:53:35,63.420664,10.396269,5.38,7.21,7
1740066821,2025-02-20 15:53:41,63.420621,10.396086,5.36,7.2,7
1740066827,2025-02-20 15:53:47,63.420576,10.395887,5.36,7.33,7
1740066835,2025-02-20 15:53:55,63.420531,10.395682,5.39,7.44,9
1740066841,2025-02-20 15:54:01,63.420462,10.395468,5.41,7.52,11
1740066847,2025-02-20 15:54:07,63.42038,10.395361,5.43,7.61,11
1740066855,2025-02-20 15:54:15,63.420267,10.39531,5.45,7.65,10
1740066862,2025-02-20 15:54:22,63.420176,10.395309,5.42,7.53,12
1740066870,2025-02-20 15:54:30,63.420061,10.395257,5.39,7.22,12
1740066878,2025-02-20 15:54:38,63.419969,10.395242,5.43,7.32,12
1740066886,2025-02-20 15:54:46,63.419854,10.395234,5.37,7.33,11
1740066892,2025-02-20 15:54:52,63.419753,10.395251,5.31,7.29,10
1740066900,2025-02-20 15:55:00,63.419662,10.395309,5.27,7.27,9
1740066910,2025-02-20 15:55:10,63.41956,10.39535,5.21,7.23,10
1740066935,2025-02-20 15:55:35,63.419509,10.395536,5.12,7.26,14
1740066943,2025-02-20 15:55:43,63.419404,10.395579,5.04,7.2,16
1740066953,2025-02-20 15:55:53,63.419353,10.395792,4.87,7.06,14
1740067083,2025-02-20 15:58:03,63.419406,10.395595,3.74,5.09,23
1740067094,2025-02-20 15:58:14,63.419565,10.396077,3.66,4.88,19
1740067096,2025-02-20 15:58:16,63.41966,10.395931,3.63,4.78,12
1740067098,2025-02-20 15:58:18,63.419691,10.395666,3.64,4.78,13
1740067102,2025-02-20 15:58:22,63.419706,10.395343,3.61,4.68,15
1740067119,2025-02-20 15:58:39,63.419693,10.395129,3.53,4.69,11
1740067135,2025-02-20 15:58:55,63.41963,10.394943,3.38,4.59,12
1740067143,2025-02-20 15:59:03,63.419655,10.394687,3.35,4.49,11
1740067154,2025-02-20 15:59:14,63.419648,10.394478,3.32,4.56,10
1740067164,2025-02-20 15:59:24,63.419711,10.394292,3.36,4.63,9
1740067175,2025-02-20 15:59:35,63.419799,10.39421,3.37,4.37,7
1740067190,2025-02-20 15:59:50,63.419891,10.394186,3.5,4.58,10
1740067201,2025-02-20 16:00:01,63.419934,10.393998,3.64,4.82,8
1740067214,2025-02-20 16:00:14,63.420007,10.393857,3.74,4.83,8
1740067221,2025-02-20 16:00:21,63.420084,10.393995,3.79,4.98,8
1740067240,2025-02-20 16:00:40,63.420138,10.39383,3.87,5.58,9
1740067255,2025-02-20 16:00:55,63.420226,10.393703,4.01,5.81,10
1740067263,2025-02-20 16:01:03,63.420332,10.393669,4.1,5.73,13
1740067269,2025-02-20 16:01:09,63.420426,10.393739,4.14,5.81,13
1740067275,2025-02-20 16:01:15,63.420516,10.393789,4.19,5.83,14
1740067281,2025-02-20 16:01:21,63.420618,10.393877,4.29,5.87,15
1740067291,2025-02-20 16:01:31,63.420744,10.393891,4.4,5.97,15
1740067297,2025-02-20 16:01:37,63.420833,10.393769,4.47,5.96,16
1740067307,2025-02-20 16:01:47,63.420878,10.393563,4.56,6.35,16
1740067316,2025-02-20 16:01:56,63.420956,10.393432,4.62,6.57,15
1740067328,2025-02-20 16:02:08,63.421045,10.393314,4.7,6.63,13
1740067337,2025-02-20 16:02:17,63.421114,10.393152,4.81,6.56,12
1740067345,2025-02-20 16:02:25,63.421165,10.392947,4.91,6.61,13
1740067354,2025-02-20 16:02:34,63.421189,10.392729,4.98,6.79,11
1740067362,2025-02-20 16:02:42,63.421282,10.392658,5.03,6.76,10
1740067372,2025-02-20 16:02:52,63.42139,10.392591,5.12,6.93,10
1740067382,2025-02-20 16:03:02,63.421431,10.392354,5.22,7.02,12
1740067390,2025-02-20 16:03:10,63.421457,10.392136,5.32,7.14,14
1740067401,2025-02-20 16:03:21,63.42155,10.392044,5.43,7.38,18
1740067405,2025-02-20 16:03:25,63.421636,10.391852,5.45,7.55,19
1740067409,2025-02-20 16:03:29,63.421731,10.391762,5.46,7.61,19
1740067417,2025-02-20 16:03:37,63.421792,10.39161,5.5,7.71,18
1740067423,2025-02-20 16:03:43,63.421792,10.391382,5.49,7.62,15
1740067431,2025-02-20 16:03:51,63.421842,10.391194,5.44,7.64,13
1740067440,2025-02-20 16:04:00,63.421887,10.391002,5.41,7.56,12
1740067444,2025-02-20 16:04:04,63.42198,10.391073,5.41,7.84,12
1740067452,2025-02-20 16:04:12,63.422094,10.391137,5.44,7.94,11
1740067461,2025-02-20 16:04:21,63.422168,10.391288,5.38,8.03,11
1740067467,2025-02-20 16:04:27,63.422252,10.391361,5.36,7.78,11
1740067475,2025-02-20 16:04:35,63.422351,10.391445,5.34,7.94,11
1740067483,2025-02-20 16:04:43,63.422446,10.391542,5.33,7.59,10
1740067491,2025-02-20 16:04:51,63.422545,10.39164,5.31,7.47,9
1740067500,2025-02-20 16:05:00,63.422647,10.391705,5.26,7.2,9
1740067516,2025-02-20 16:05:16,63.422735,10.391784,5.19,7.46,12
1740067535,2025-02-20 16:05:35,63.422721,10.392007,5.13,7.36,11
1740067573,2025-02-20 16:06:13,63.422649,10.392134,5.11,7.45,20
1740067587,2025-02-20 16:06:27,63.422696,10.391948,5.14,7.68,30
1740067605,2025-02-20 16:06:45,63.422606,10.392047,5.07,8.15,30
