date_unix,date,lat,lon,countRate,doseRate,acc
1738266170,2025-01-30 19:42:50,63.432853,10.397295,5.76,4.3,19
1738266190,2025-01-30 19:43:10,63.432783,10.39717,5.78,6.39,12
1738266209,2025-01-30 19:43:29,63.432711,10.397332,5.8,6.64,8
1738266227,2025-01-30 19:43:47,63.432636,10.397502,6.12,7.31,12
1738266237,2025-01-30 19:43:57,63.432532,10.397542,6.17,7.14,11
1738266250,2025-01-30 19:44:10,63.432421,10.397539,6.13,6.98,11
1738266259,2025-01-30 19:44:19,63.432321,10.397594,6.34,7.13,11
1738266269,2025-01-30 19:44:29,63.432182,10.397495,5.82,6.61,12
1738266275,2025-01-30 19:44:35,63.432107,10.397361,5.9,7.09,11
1738266284,2025-01-30 19:44:44,63.431994,10.397316,6.02,7.23,10
1738266292,2025-01-30 19:44:52,63.431942,10.397483,6.13,7.39,12
1738266300,2025-01-30 19:45:00,63.43185,10.39757,6.15,7.41,13
1738266306,2025-01-30 19:45:06,63.431761,10.397645,6.1,7.2,13
1738266315,2025-01-30 19:45:15,63.431671,10.39774,6.1,7.16,13
1738266324,2025-01-30 19:45:24,63.431584,10.397837,6.16,7.31,13
1738266332,2025-01-30 19:45:32,63.431491,10.39788,6.17,7.24,13
1738266340,2025-01-30 19:45:40,63.431373,10.397899,6.16,7.02,13
1738266348,2025-01-30 19:45:48,63.43126,10.39789,6.13,7,14
1738266356,2025-01-30 19:45:56,63.431151,10.397805,6.2,7.08,13
1738266367,2025-01-30 19:46:07,63.431097,10.397589,9.78,11.87,13
1738266373,2025-01-30 19:46:13,63.431041,10.397396,9.39,11.91,13
1738266381,2025-01-30 19:46:21,63.431036,10.397111,6.59,7.53,12
1738266393,2025-01-30 19:46:33,63.431088,10.39693,5.06,7.85,11
1738266408,2025-01-30 19:46:48,63.431023,10.396788,5.03,4.99,10
1738266420,2025-01-30 19:47:00,63.431028,10.396585,5.85,6.36,10
1738266428,2025-01-30 19:47:08,63.431095,10.396439,6.22,7.24,10
1738266444,2025-01-30 19:47:24,63.431011,10.396244,6.51,7.13,11
1738266448,2025-01-30 19:47:28,63.430966,10.396035,6.43,6.99,11
1738266456,2025-01-30 19:47:36,63.430924,10.395828,6.59,7.04,10
1738266470,2025-01-30 19:47:50,63.430855,10.395645,6.74,8.39,9
1738266484,2025-01-30 19:48:04,63.430762,10.395542,6.67,8.4,11
1738266493,2025-01-30 19:48:13,63.430655,10.395499,6.58,8.04,11
1738266501,2025-01-30 19:48:21,63.430556,10.395417,6.54,8.02,11
1738266507,2025-01-30 19:48:27,63.430462,10.395315,6.45,7.81,10
1738266515,2025-01-30 19:48:35,63.430371,10.395175,6.31,7.77,9
1738266525,2025-01-30 19:48:45,63.430263,10.395158,6.35,7.71,8
1738266533,2025-01-30 19:48:53,63.430166,10.395183,6.48,7.71,7
1738266541,2025-01-30 19:49:01,63.430075,10.395225,6.57,7.96,7
1738266551,2025-01-30 19:49:11,63.429978,10.395215,6.46,7.97,6
1738266564,2025-01-30 19:49:24,63.429872,10.395217,6.35,7.71,6
1738266574,2025-01-30 19:49:34,63.42978,10.395315,6.32,7.82,7
1738266582,2025-01-30 19:49:42,63.429654,10.395327,6.26,7.86,8
1738266590,2025-01-30 19:49:50,63.429552,10.3954,6.25,7.81,9
1738266598,2025-01-30 19:49:58,63.429458,10.39548,6.28,7.94,9
1738266608,2025-01-30 19:50:08,63.429341,10.395515,6.26,7.97,10
1738266616,2025-01-30 19:50:16,63.429243,10.395523,6.14,7.62,9
1738266624,2025-01-30 19:50:24,63.429145,10.395512,6.06,7.64,9
1738266634,2025-01-30 19:50:34,63.429049,10.395478,5.92,7.45,8
1738266642,2025-01-30 19:50:42,63.428955,10.39558,5.84,7.45,9
1738266648,2025-01-30 19:50:48,63.428866,10.395669,5.74,7.33,11
1738266656,2025-01-30 19:50:56,63.428747,10.395788,5.64,7.09,11
1738266664,2025-01-30 19:51:04,63.42866,10.395899,5.52,7.15,10
1738266670,2025-01-30 19:51:10,63.428556,10.395908,5.47,6.83,9
1738266678,2025-01-30 19:51:18,63.428463,10.395964,5.43,6.91,9
1738266686,2025-01-30 19:51:26,63.42837,10.39603,5.48,6.95,9
1738266694,2025-01-30 19:51:34,63.428274,10.396092,5.41,6.68,9
1738266700,2025-01-30 19:51:40,63.428187,10.396145,5.35,6.57,9
1738266708,2025-01-30 19:51:48,63.428095,10.396222,5.36,6.7,8
1738266717,2025-01-30 19:51:57,63.428004,10.396305,5.43,7.03,8
1738266726,2025-01-30 19:52:06,63.427912,10.396429,5.4,7.37,8
1738266734,2025-01-30 19:52:14,63.427815,10.396398,5.41,7.23,8
1738266742,2025-01-30 19:52:22,63.427718,10.396413,5.55,7.41,8
1738266754,2025-01-30 19:52:34,63.427631,10.396525,5.65,7.29,7
1738266765,2025-01-30 19:52:45,63.427548,10.396442,5.79,7.81,6
1738266776,2025-01-30 19:52:56,63.427468,10.396317,5.8,7.91,7
1738266785,2025-01-30 19:53:05,63.427378,10.396229,5.81,8.29,7
1738266799,2025-01-30 19:53:19,63.427278,10.396161,5.75,8.15,9
1738266807,2025-01-30 19:53:27,63.427176,10.395959,5.79,8.26,11
1738266815,2025-01-30 19:53:35,63.427149,10.395757,5.79,8.33,11
1738266825,2025-01-30 19:53:45,63.427101,10.395534,5.76,8.32,10
1738266833,2025-01-30 19:53:53,63.427033,10.395383,5.8,8.42,10
1738266842,2025-01-30 19:54:02,63.426946,10.395295,5.75,8.59,10
1738266851,2025-01-30 19:54:11,63.426862,10.395188,5.64,8.42,10
1738266859,2025-01-30 19:54:19,63.426786,10.395029,5.59,8.39,9
1738266867,2025-01-30 19:54:27,63.426725,10.394869,5.65,8.89,9
1738266873,2025-01-30 19:54:33,63.426633,10.394733,5.61,8.85,9
1738266881,2025-01-30 19:54:41,63.426566,10.394558,5.66,8.86,8
1738266892,2025-01-30 19:54:52,63.426535,10.394345,5.72,9.12,7
1738266898,2025-01-30 19:54:58,63.426495,10.394078,5.72,9.28,7
1738266907,2025-01-30 19:55:07,63.426484,10.393829,5.73,9.02,7
1738266915,2025-01-30 19:55:15,63.426485,10.393618,5.72,8.92,6
1738266939,2025-01-30 19:55:39,63.42655,10.393442,5.59,8.55,5
1738266948,2025-01-30 19:55:48,63.426501,10.39324,5.59,8.66,4
1738266958,2025-01-30 19:55:58,63.426409,10.393264,5.58,8.62,5
1738266967,2025-01-30 19:56:07,63.42632,10.39319,5.51,8.64,5
1738266976,2025-01-30 19:56:16,63.426214,10.393155,5.29,8.36,6
1738266989,2025-01-30 19:56:29,63.426121,10.393162,5.26,7.99,8
1738267000,2025-01-30 19:56:40,63.426026,10.393128,5.08,7.67,8
1738267018,2025-01-30 19:56:58,63.425911,10.393124,4.82,7.2,7
1738267028,2025-01-30 19:57:08,63.425804,10.393121,4.64,6.76,6
1738267036,2025-01-30 19:57:16,63.425709,10.393194,4.54,6.61,6
1738267046,2025-01-30 19:57:26,63.425609,10.393272,4.49,6.39,6
1738267054,2025-01-30 19:57:34,63.425519,10.393317,4.42,6.42,5
1738267063,2025-01-30 19:57:43,63.425424,10.393362,4.3,6.16,5
1738267073,2025-01-30 19:57:53,63.42532,10.39337,4.22,6.24,5
1738267081,2025-01-30 19:58:01,63.42523,10.393397,4.21,6.25,5
1738267089,2025-01-30 19:58:09,63.425143,10.393449,4.19,6.15,5
1738267099,2025-01-30 19:58:19,63.425035,10.393458,4.17,6.01,4
1738267110,2025-01-30 19:58:30,63.42493,10.393489,4.17,6.14,4
1738267118,2025-01-30 19:58:38,63.424824,10.393547,4.12,5.95,4
1738267124,2025-01-30 19:58:44,63.424725,10.393581,4.09,5.76,4
1738267132,2025-01-30 19:58:52,63.42463,10.393604,4.14,5.78,4
1738267140,2025-01-30 19:59:00,63.424537,10.393638,4.16,5.68,4
1738267148,2025-01-30 19:59:08,63.424447,10.393668,4.2,5.78,3
1738267157,2025-01-30 19:59:17,63.424344,10.393716,4.23,5.78,3
1738267166,2025-01-30 19:59:26,63.424248,10.393758,4.18,5.7,3
1738267175,2025-01-30 19:59:35,63.424142,10.393788,4.15,5.68,3
1738267185,2025-01-30 19:59:45,63.424033,10.393836,4.09,5.82,3
1738267193,2025-01-30 19:59:53,63.423939,10.393848,4.12,5.88,3
1738267203,2025-01-30 20:00:03,63.423828,10.393876,4.16,6.08,3
1738267211,2025-01-30 20:00:11,63.423738,10.393888,4.18,6.03,3
1738267222,2025-01-30 20:00:22,63.423619,10.393919,4.27,6,3
1738267231,2025-01-30 20:00:31,63.423518,10.393962,4.34,6.05,4
1738267240,2025-01-30 20:00:40,63.423419,10.394,4.49,6.67,4
1738267249,2025-01-30 20:00:49,63.423321,10.394012,4.5,6.83,4
1738267257,2025-01-30 20:00:57,63.423221,10.394039,4.53,6.8,3
1738267267,2025-01-30 20:01:07,63.423118,10.394055,4.6,7.28,3
1738267275,2025-01-30 20:01:15,63.423026,10.394095,4.61,7.42,3
1738267283,2025-01-30 20:01:23,63.422932,10.394116,4.6,7.71,3
1738267295,2025-01-30 20:01:35,63.422826,10.394009,4.67,7.91,4
1738267306,2025-01-30 20:01:46,63.422811,10.393793,4.76,8.11,3
1738267318,2025-01-30 20:01:58,63.422815,10.393555,4.84,8.03,3
1738267327,2025-01-30 20:02:07,63.422817,10.393346,4.87,7.74,4
1738267337,2025-01-30 20:02:17,63.422788,10.393098,4.94,7.74,5
1738267345,2025-01-30 20:02:25,63.42279,10.392896,4.98,7.77,5
1738267353,2025-01-30 20:02:33,63.422809,10.392678,4.98,7.64,5
1738267364,2025-01-30 20:02:44,63.422807,10.39241,5,7.61,6
1738267411,2025-01-30 20:03:31,63.422777,10.3922,5.04,8.31,7
1738267460,2025-01-30 20:04:20,63.422598,10.392109,5.2,8.14,17
1738267469,2025-01-30 20:04:29,63.422529,10.392287,5.27,8.5,18
