date_unix,date,lat,lon,countRate,doseRate,acc
1752499814,2025-07-14 13:30:14,69.727319,30.041491,6.64,8.82,18
1752499818,2025-07-14 13:30:18,69.727496,30.041769,6.69,8.85,18
1752499824,2025-07-14 13:30:24,69.72757,30.041604,6.77,9.14,14
1752499832,2025-07-14 13:30:32,69.727667,30.041561,6.82,9.41,14
1752499846,2025-07-14 13:30:46,69.727686,30.04126,6.92,9.5,6
1752499854,2025-07-14 13:30:54,69.727723,30.040993,7.1,9.75,4
1752499864,2025-07-14 13:31:04,69.727703,30.040689,7.17,9.93,5
1752499874,2025-07-14 13:31:14,69.727713,30.040423,7.13,9.85,5
1752499885,2025-07-14 13:31:25,69.727723,30.0401,7.16,9.57,6
1752499893,2025-07-14 13:31:33,69.727715,30.039783,7.36,10.02,6
1752499903,2025-07-14 13:31:43,69.72769,30.039516,6.8,8.42,6
1752499912,2025-07-14 13:31:52,69.727684,30.039208,6.64,8.42,6
1752499922,2025-07-14 13:32:02,69.727747,30.038946,6.68,8.77,6
1752499930,2025-07-14 13:32:10,69.727787,30.038703,6.65,8.83,5
1752499942,2025-07-14 13:32:22,69.727809,30.038405,6.69,8.85,5
1752499950,2025-07-14 13:32:30,69.727878,30.038209,6.79,9.16,5
1752499959,2025-07-14 13:32:39,69.727957,30.038015,6.82,9.26,4
1752499968,2025-07-14 13:32:48,69.728017,30.037819,6.92,9.49,5
1752499982,2025-07-14 13:33:02,69.727975,30.037476,7.14,9.65,61
1752500032,2025-07-14 13:33:52,69.728075,30.037412,11.12,15.54,16
1752500140,2025-07-14 13:35:40,69.728328,30.037212,8.97,10.43,19
1752500212,2025-07-14 13:36:52,69.728229,30.037176,8.65,10.72,11
1752500240,2025-07-14 13:37:20,69.728141,30.037333,8.63,10.58,19
1752500421,2025-07-14 13:40:21,69.728067,30.037501,10.97,12.55,16
1752500529,2025-07-14 13:42:09,69.727976,30.037553,10.91,12.66,54
1752500545,2025-07-14 13:42:25,69.727882,30.037691,10.83,12.6,89
1752500557,2025-07-14 13:42:37,69.728009,30.037749,10.71,12.75,19
1752500574,2025-07-14 13:42:54,69.728109,30.038177,10.75,13.13,18
1752500588,2025-07-14 13:43:08,69.728182,30.038394,10.53,12.9,4
1752500598,2025-07-14 13:43:18,69.728293,30.038455,5.76,5.89,4
1752500606,2025-07-14 13:43:26,69.728391,30.038431,5.97,7.95,4
1752500617,2025-07-14 13:43:37,69.728502,30.038422,5.59,6.18,3
1752500627,2025-07-14 13:43:47,69.728593,30.038541,5.71,6.04,3
1752500636,2025-07-14 13:43:56,69.728681,30.038669,5.62,6.8,3
1752500649,2025-07-14 13:44:09,69.728776,30.038769,5.61,7.65,3
1752500661,2025-07-14 13:44:21,69.728883,30.038792,5.71,8.18,4
1752500679,2025-07-14 13:44:39,69.728891,30.039099,5.86,8.63,4
1752500687,2025-07-14 13:44:47,69.728911,30.039368,5.94,8.2,4
1752500695,2025-07-14 13:44:55,69.728933,30.039662,6.02,8.38,4
1752500703,2025-07-14 13:45:03,69.728955,30.039937,6.08,8.29,5
