date_unix,date,lat,lon,countRate,doseRate,acc
1754000243,2025-07-31 22:17:23,59.889677,10.716726,8.07,9.8,7
1754000257,2025-07-31 22:17:37,59.889747,10.716841,8.17,10.42,5
1754000267,2025-07-31 22:17:47,59.889835,10.716892,8.18,10.28,5
1754000278,2025-07-31 22:17:58,59.889937,10.71698,8.13,9.82,4
1754000291,2025-07-31 22:18:11,59.89,10.717108,8.06,9.6,4
1754000301,2025-07-31 22:18:21,59.890089,10.717165,8.09,9.45,4
1754000311,2025-07-31 22:18:31,59.890185,10.71716,8.05,9.09,5
1754000322,2025-07-31 22:18:42,59.890286,10.717194,8.1,9.33,4
1754000337,2025-07-31 22:18:57,59.890345,10.717025,8.07,8.78,4
1754000346,2025-07-31 22:19:06,59.890308,10.716859,8,8.67,3
1754000359,2025-07-31 22:19:19,59.890276,10.716661,7.8,8.52,3
1754000370,2025-07-31 22:19:30,59.890219,10.7165,7.8,8.81,3
1754000386,2025-07-31 22:19:46,59.890147,10.71636,7.66,8.7,3
1754000403,2025-07-31 22:20:03,59.890079,10.71618,7.72,9.21,3
1754000418,2025-07-31 22:20:18,59.89,10.716019,7.71,9.66,4
1754000432,2025-07-31 22:20:32,59.889935,10.715851,7.59,9.26,3
1754000455,2025-07-31 22:20:55,59.889884,10.715699,7.52,9.35,4
1754000472,2025-07-31 22:21:12,59.889811,10.715548,7.56,9.72,3
1754000540,2025-07-31 22:22:20,59.889754,10.715393,7.39,9.47,6
1754000571,2025-07-31 22:22:51,59.889695,10.715248,7.31,9.3,6
1754000588,2025-07-31 22:23:08,59.889634,10.715064,7.46,9.53,4
1754000602,2025-07-31 22:23:22,59.889591,10.714861,7.42,9.5,3
1754000617,2025-07-31 22:23:37,59.889571,10.714659,7.39,9.61,3
1754000630,2025-07-31 22:23:50,59.889504,10.714501,7.36,9.42,3
1754000643,2025-07-31 22:24:03,59.889403,10.714434,7.3,9.22,3
1754000653,2025-07-31 22:24:13,59.889331,10.71431,7.21,8.93,3
1754000663,2025-07-31 22:24:23,59.889287,10.714139,7.25,8.9,3
1754000677,2025-07-31 22:24:37,59.889209,10.713972,7.18,8.64,3
