date_unix,date,lat,lon,countRate,doseRate,acc
1750249443,2025-06-18 12:24:03,59.911384,10.759762,9.02,11.04,16
1750249459,2025-06-18 12:24:19,59.911289,10.759885,8.94,10.81,11
1750249467,2025-06-18 12:24:27,59.911252,10.760067,9.02,10.86,12
1750249477,2025-06-18 12:24:37,59.911207,10.760287,9.14,11.54,11
1750249488,2025-06-18 12:24:48,59.911225,10.76047,9.13,11.72,12
1750249496,2025-06-18 12:24:56,59.911206,10.760705,9.16,12.05,14
1750249500,2025-06-18 12:25:00,59.91113,10.76083,9.17,12.09,14
1750249506,2025-06-18 12:25:06,59.911044,10.760978,9.2,12.27,13
1750249514,2025-06-18 12:25:14,59.910968,10.761186,9.2,12.54,12
1750249520,2025-06-18 12:25:20,59.910922,10.761342,9.22,12.38,11
1750249534,2025-06-18 12:25:34,59.910864,10.761502,9.05,12.36,11
1750249542,2025-06-18 12:25:42,59.910966,10.76151,9.01,12.46,12
1750249550,2025-06-18 12:25:50,59.911063,10.761581,9.03,12.74,12
1750249559,2025-06-18 12:25:59,59.911149,10.761682,8.95,12.84,11
1750249563,2025-06-18 12:26:03,59.91123,10.761769,8.97,13.06,12
1750249574,2025-06-18 12:26:14,59.911308,10.7619,8.91,13.28,10
1750249587,2025-06-18 12:26:27,59.911413,10.761943,8.81,12.84,10
1750249593,2025-06-18 12:26:33,59.91151,10.76195,8.74,12.73,10
1750249599,2025-06-18 12:26:39,59.911628,10.761927,8.71,12.69,11
1750249607,2025-06-18 12:26:47,59.911735,10.761902,8.75,12.9,11
1750249613,2025-06-18 12:26:53,59.911843,10.761903,8.83,12.54,11
1750249619,2025-06-18 12:26:59,59.911887,10.762061,8.81,12.66,10
1750249634,2025-06-18 12:27:14,59.911969,10.762214,8.93,13.38,9
1750249643,2025-06-18 12:27:23,59.912053,10.762285,8.94,13.19,10
1750249654,2025-06-18 12:27:34,59.912148,10.762354,8.9,13.31,10
1750249662,2025-06-18 12:27:42,59.91224,10.762402,8.9,13.04,10
