date_unix,date,lat,lon,countRate,doseRate,acc
1750438208,2025-06-20 16:50:08,59.933207,10.749716,4.5,5.72,14
1750438210,2025-06-20 16:50:10,59.933395,10.749737,4.5,5.73,14
1750438212,2025-06-20 16:50:12,59.933577,10.749738,4.51,5.72,13
1750438214,2025-06-20 16:50:14,59.933768,10.749765,4.48,5.67,12
1750438216,2025-06-20 16:50:16,59.933961,10.74978,4.48,5.81,15
1750438218,2025-06-20 16:50:18,59.934156,10.749769,4.46,5.73,11
1750438220,2025-06-20 16:50:20,59.934354,10.749785,4.48,5.75,17
1750438222,2025-06-20 16:50:22,59.934514,10.749805,4.46,5.74,15
1750438224,2025-06-20 16:50:24,59.934637,10.749818,4.43,5.79,13
1750438243,2025-06-20 16:50:43,59.93473,10.749894,4.48,5.79,14
1750438248,2025-06-20 16:50:48,59.934824,10.749852,4.46,5.77,14
1750438252,2025-06-20 16:50:52,59.935044,10.74984,4.43,5.76,15
1750438254,2025-06-20 16:50:54,59.935215,10.749861,4.39,5.82,15
1750438256,2025-06-20 16:50:56,59.935368,10.749856,4.37,5.81,19
1750438258,2025-06-20 16:50:58,59.935543,10.749865,4.36,5.78,16
1750438260,2025-06-20 16:51:00,59.935733,10.749867,4.34,5.76,18
1750438262,2025-06-20 16:51:02,59.935951,10.749889,4.34,5.76,15
1750438264,2025-06-20 16:51:04,59.936163,10.749894,4.3,5.66,14
1750438266,2025-06-20 16:51:06,59.936355,10.749903,4.29,5.66,13
1750438268,2025-06-20 16:51:08,59.936557,10.749917,4.28,5.63,15
1750438270,2025-06-20 16:51:10,59.936726,10.749935,4.28,5.61,15
1750438272,2025-06-20 16:51:12,59.936893,10.74997,4.3,5.72,14
1750438287,2025-06-20 16:51:27,59.937989,10.750516,4.28,5.65,141
1750438289,2025-06-20 16:51:29,59.937836,10.750821,4.3,5.77,79
1750438293,2025-06-20 16:51:33,59.937693,10.751023,4.29,5.77,60
1750438295,2025-06-20 16:51:35,59.93758,10.751089,4.31,5.77,57
1750438303,2025-06-20 16:51:43,59.937592,10.751297,4.27,5.53,29
1750438318,2025-06-20 16:51:58,59.937554,10.751057,4.14,5.11,29
1750438320,2025-06-20 16:52:00,59.937689,10.751124,4.12,4.94,32
1750438324,2025-06-20 16:52:04,59.937609,10.751325,4.11,5,33
1750438326,2025-06-20 16:52:06,59.93762,10.751582,4.12,5.03,35
1750438332,2025-06-20 16:52:12,59.937616,10.751948,4.16,5.33,40
1750438364,2025-06-20 16:52:44,59.937628,10.753089,4.3,5.29,100
1750438372,2025-06-20 16:52:52,59.937604,10.753996,4.31,5.23,107
1750438379,2025-06-20 16:52:59,59.937583,10.754925,4.33,5.32,90
1750438381,2025-06-20 16:53:01,59.937549,10.755362,4.31,5.3,89
1750438386,2025-06-20 16:53:06,59.937529,10.756061,4.33,5.34,35
1750438394,2025-06-20 16:53:14,59.937449,10.757187,4.3,5.21,22
1750438428,2025-06-20 16:53:48,59.937434,10.757415,4.43,5.24,41
1750438433,2025-06-20 16:53:53,59.937439,10.757714,4.48,5.25,60
1750438435,2025-06-20 16:53:55,59.93747,10.760939,4.48,5.27,46
1750438437,2025-06-20 16:53:57,59.937579,10.760853,4.5,5.22,127
1750438441,2025-06-20 16:54:01,59.937701,10.760735,4.51,5.12,126
1750438445,2025-06-20 16:54:05,59.937858,10.760625,4.52,5.24,87
1750438447,2025-06-20 16:54:07,59.938387,10.759711,4.54,5.18,40
1750438461,2025-06-20 16:54:21,59.938417,10.760287,4.67,5.21,36
1750438470,2025-06-20 16:54:30,59.938474,10.759545,4.67,5.12,23
1750438475,2025-06-20 16:54:35,59.938561,10.759711,4.66,4.98,24
1750438478,2025-06-20 16:54:38,59.938885,10.759217,4.68,5,68
1750438482,2025-06-20 16:54:42,59.939071,10.759165,4.7,4.85,85
1750438484,2025-06-20 16:54:44,59.939228,10.759023,4.69,4.83,77
1750438486,2025-06-20 16:54:46,59.939367,10.758923,4.67,4.84,72
1750438488,2025-06-20 16:54:48,59.939464,10.758832,4.66,4.83,77
1750438490,2025-06-20 16:54:50,59.939566,10.758847,4.65,4.77,55
1750438492,2025-06-20 16:54:52,59.939716,10.759002,4.6,4.76,55
1750438496,2025-06-20 16:54:56,59.939824,10.75919,4.59,4.79,58
1750438512,2025-06-20 16:55:12,59.940701,10.759347,4.55,4.84,91
1750438514,2025-06-20 16:55:14,59.940778,10.759241,4.57,5.02,135
1750438518,2025-06-20 16:55:18,59.940938,10.759349,4.58,4.99,63
1750438520,2025-06-20 16:55:20,59.941108,10.759384,4.61,5,67
1750438522,2025-06-20 16:55:22,59.941247,10.759184,4.61,5.11,114
1750438524,2025-06-20 16:55:24,59.941262,10.75896,4.63,5.12,101
1750438526,2025-06-20 16:55:26,59.941644,10.759501,4.64,5.13,93
1750438528,2025-06-20 16:55:28,59.941907,10.759553,4.62,5.04,100
1750438530,2025-06-20 16:55:30,59.942236,10.75962,4.62,5.11,104
1750438532,2025-06-20 16:55:32,59.942564,10.758793,4.64,5.13,110
1750438534,2025-06-20 16:55:34,59.942796,10.758692,4.64,5.06,121
1750438536,2025-06-20 16:55:36,59.942989,10.758653,4.61,5.05,108
1750438538,2025-06-20 16:55:38,59.943103,10.758636,4.63,5.07,115
1750438546,2025-06-20 16:55:46,59.942212,10.759608,4.61,5.12,40
1750438549,2025-06-20 16:55:49,59.942304,10.75961,4.59,5.11,36
1750438566,2025-06-20 16:56:06,59.942596,10.75959,4.62,5.29,61
1750438570,2025-06-20 16:56:10,59.942813,10.759891,4.6,5.26,74
1750438572,2025-06-20 16:56:12,59.943016,10.760008,4.59,5.14,65
1750438574,2025-06-20 16:56:14,59.943135,10.759922,4.6,5.15,57
1750438576,2025-06-20 16:56:16,59.943311,10.759853,4.58,5.13,49
1750438578,2025-06-20 16:56:18,59.94353,10.759903,4.56,5.01,44
1750438582,2025-06-20 16:56:22,59.943674,10.759884,4.55,5,36
1750438586,2025-06-20 16:56:26,59.943759,10.759802,4.53,4.87,36
1750438590,2025-06-20 16:56:30,59.943852,10.759788,4.49,4.63,39
1750438594,2025-06-20 16:56:34,59.94396,10.759724,4.48,4.65,37
1750438596,2025-06-20 16:56:36,59.94395,10.759951,4.48,4.68,33
1750438600,2025-06-20 16:56:40,59.944099,10.759972,4.43,4.72,37
1750438604,2025-06-20 16:56:44,59.94422,10.760135,4.4,4.8,112
1750438608,2025-06-20 16:56:48,59.944764,10.760178,4.36,4.73,92
1750438610,2025-06-20 16:56:50,59.945016,10.760136,4.34,4.72,121
1750438612,2025-06-20 16:56:52,59.94524,10.760209,4.33,4.71,141
1750438614,2025-06-20 16:56:54,59.945352,10.760233,4.29,4.64,153
1750438616,2025-06-20 16:56:56,59.945567,10.760228,4.25,4.54,119
1750438618,2025-06-20 16:56:58,59.94566,10.760233,4.24,4.54,120
1750438622,2025-06-20 16:57:02,59.945876,10.760158,4.2,4.48,153
1750438643,2025-06-20 16:57:23,59.945726,10.760269,4.15,4.94,125
1750438660,2025-06-20 16:57:40,59.946221,10.760435,4.12,5.13,19
1750438664,2025-06-20 16:57:44,59.946339,10.760607,4.14,5.24,16
1750438668,2025-06-20 16:57:48,59.946401,10.760461,4.16,5.31,13
1750438670,2025-06-20 16:57:50,59.946464,10.76032,4.16,5.27,13
1750438674,2025-06-20 16:57:54,59.946653,10.760204,4.14,5.35,13
1750438676,2025-06-20 16:57:56,59.94678,10.76027,4.12,5.26,13
1750438678,2025-06-20 16:57:58,59.946915,10.760276,4.1,5.37,13
1750438680,2025-06-20 16:58:00,59.947084,10.760281,4.08,5.43,12
1750438682,2025-06-20 16:58:02,59.947239,10.760268,4.03,5.38,12
1750438684,2025-06-20 16:58:04,59.9474,10.760222,3.98,5.36,9
1750438686,2025-06-20 16:58:06,59.947516,10.760169,3.96,5.34,10
1750438690,2025-06-20 16:58:10,59.947646,10.760065,3.98,5.66,10
1750438694,2025-06-20 16:58:14,59.947775,10.759985,4,5.72,10
1750438711,2025-06-20 16:58:31,59.947945,10.759904,3.87,5.6,23
1750438713,2025-06-20 16:58:33,59.948051,10.759823,3.83,5.58,19
1750438717,2025-06-20 16:58:37,59.948262,10.759707,3.81,5.58,16
1750438719,2025-06-20 16:58:39,59.948488,10.759605,3.79,5.56,18
1750438721,2025-06-20 16:58:41,59.948636,10.759562,3.78,5.52,15
1750438723,2025-06-20 16:58:43,59.948833,10.759611,3.78,5.52,17
1750438725,2025-06-20 16:58:45,59.94901,10.759733,3.79,5.53,15
1750438727,2025-06-20 16:58:47,59.94917,10.759896,3.78,5.52,18
1750438729,2025-06-20 16:58:49,59.949278,10.760032,3.75,5.68,18
1750438733,2025-06-20 16:58:53,59.949392,10.760215,3.78,5.68,15
1750438735,2025-06-20 16:58:55,59.949561,10.760381,3.76,5.67,15
1750438737,2025-06-20 16:58:57,59.949714,10.760557,3.75,5.68,17
1750438739,2025-06-20 16:58:59,59.949863,10.760727,3.75,5.74,13
1750438741,2025-06-20 16:59:01,59.950032,10.760863,3.74,5.93,13
1750438743,2025-06-20 16:59:03,59.950172,10.760941,3.75,6.11,14
1750438745,2025-06-20 16:59:05,59.950312,10.760989,3.75,6.15,13
1750438747,2025-06-20 16:59:07,59.950441,10.76102,3.77,6.17,12
1750438749,2025-06-20 16:59:09,59.950546,10.761028,3.77,6.25,13
1750438753,2025-06-20 16:59:13,59.950693,10.761017,3.77,6.18,13
1750438764,2025-06-20 16:59:24,59.950787,10.761017,3.78,6.17,13
1750438772,2025-06-20 16:59:32,59.950912,10.761016,3.81,6.07,13
1750438774,2025-06-20 16:59:34,59.951014,10.760991,3.81,6.18,12
1750438776,2025-06-20 16:59:36,59.951125,10.760991,3.79,6.18,12
1750438778,2025-06-20 16:59:38,59.951266,10.761006,3.79,6.07,12
1750438780,2025-06-20 16:59:40,59.951407,10.761004,3.77,6.06,14
1750438782,2025-06-20 16:59:42,59.951571,10.760994,3.77,6.06,13
1750438784,2025-06-20 16:59:44,59.951725,10.761002,3.8,6.27,13
1750438786,2025-06-20 16:59:46,59.95186,10.760996,3.8,6.28,15
1750438788,2025-06-20 16:59:48,59.951991,10.761004,3.77,6.26,17
1750438790,2025-06-20 16:59:50,59.952089,10.761014,3.75,6.25,14
1750438794,2025-06-20 16:59:54,59.952252,10.761059,3.77,6.36,15
1750438796,2025-06-20 16:59:56,59.952354,10.761055,3.76,6.36,16
1750438798,2025-06-20 16:59:58,59.952478,10.761035,3.74,6.14,15
1750438800,2025-06-20 17:00:00,59.952618,10.761026,3.73,6.13,14
1750438802,2025-06-20 17:00:02,59.952756,10.761011,3.72,6.18,14
1750438804,2025-06-20 17:00:04,59.952895,10.760999,3.73,6.19,14
1750438806,2025-06-20 17:00:06,59.952993,10.761004,3.74,6.19,14
