date_unix,date,lat,lon,countRate,doseRate,acc
1750689665,2025-06-23 14:41:05,59.913938,10.736281,18.06,20.47,11
1750689709,2025-06-23 14:41:49,59.913777,10.736444,17.77,19.72,21
1750689736,2025-06-23 14:42:16,59.913932,10.736287,17.98,21.05,21
1750689768,2025-06-23 14:42:48,59.913855,10.736394,14.17,15.6,10
1750689774,2025-06-23 14:42:54,59.913757,10.736391,14.76,16,10
1750689797,2025-06-23 14:43:17,59.913652,10.73643,15.11,16.47,10
1750689806,2025-06-23 14:43:26,59.913594,10.736609,9.25,4.9,9
1750689822,2025-06-23 14:43:42,59.913552,10.736816,10.95,11.4,8
1750689832,2025-06-23 14:43:52,59.913518,10.737001,10.87,12.45,7
1750689843,2025-06-23 14:44:03,59.913453,10.73715,9.91,12.44,7
1750689856,2025-06-23 14:44:16,59.913407,10.737354,9.99,11.34,7
1750689869,2025-06-23 14:44:29,59.913371,10.737545,10.08,12.5,7
1750689877,2025-06-23 14:44:37,59.913355,10.737725,9.88,12.5,8
1750689885,2025-06-23 14:44:45,59.913308,10.737921,9.88,12.02,8
1750689893,2025-06-23 14:44:53,59.913253,10.738097,10.05,11.96,7
1750689899,2025-06-23 14:44:59,59.913209,10.73829,12.94,12.7,7
1750689907,2025-06-23 14:45:07,59.913191,10.738471,10.23,11.88,7
1750689915,2025-06-23 14:45:15,59.913219,10.738652,17.47,20.24,6
1750689923,2025-06-23 14:45:23,59.91324,10.738825,19,23.18,6
1750689933,2025-06-23 14:45:33,59.913249,10.739053,19,25.19,6
1750689941,2025-06-23 14:45:41,59.913252,10.739268,19.73,23.11,7
1750689950,2025-06-23 14:45:50,59.913317,10.739427,19.35,23.5,8
1750689959,2025-06-23 14:45:59,59.913378,10.7396,18.84,22.22,8
1750689968,2025-06-23 14:46:08,59.913412,10.739768,18.35,21.32,8
1750689979,2025-06-23 14:46:19,59.913476,10.739907,17.65,21.22,8
1750689988,2025-06-23 14:46:28,59.913458,10.740098,17.18,20.17,7
1750689996,2025-06-23 14:46:36,59.913482,10.740301,16.25,18.2,8
1750690004,2025-06-23 14:46:44,59.913541,10.740466,18.51,21.66,9
1750690012,2025-06-23 14:46:52,59.913577,10.740709,18.42,21.23,9
1750690020,2025-06-23 14:47:00,59.913629,10.740895,18.06,21.27,9
1750690028,2025-06-23 14:47:08,59.913705,10.741056,17.54,20.61,10
1750690100,2025-06-23 14:48:20,59.913716,10.740856,10.24,11.65,17
1750690162,2025-06-23 14:49:22,59.913738,10.741029,10.24,11.65,17
1750690195,2025-06-23 14:49:55,59.913704,10.740761,10.29,12.98,14
1750690209,2025-06-23 14:50:09,59.913575,10.740765,15.53,18.73,7
1750690215,2025-06-23 14:50:15,59.913484,10.740814,15.18,19.14,8
1750690223,2025-06-23 14:50:23,59.913374,10.740801,15.44,19.23,6
1750690229,2025-06-23 14:50:29,59.913276,10.740806,15.39,18.77,6
1750690239,2025-06-23 14:50:39,59.913208,10.740975,15.07,17.65,6
1750690247,2025-06-23 14:50:47,59.913188,10.741159,15.18,18.62,8
1750690256,2025-06-23 14:50:56,59.913126,10.741306,15.23,19.76,8
1750690264,2025-06-23 14:51:04,59.913056,10.741496,15.49,19.53,9
1750690272,2025-06-23 14:51:12,59.912982,10.741665,15.61,19.89,10
1750690278,2025-06-23 14:51:18,59.912916,10.741816,15.75,20.3,10
1750690286,2025-06-23 14:51:26,59.912852,10.741985,15.78,20.27,9
1750690295,2025-06-23 14:51:35,59.912746,10.741998,16.14,21.04,10
1750690303,2025-06-23 14:51:43,59.912644,10.741992,16.28,20.93,9
1750690311,2025-06-23 14:51:51,59.912548,10.741923,16.48,21.56,9
1750690319,2025-06-23 14:51:59,59.912452,10.741831,16.87,22.58,10
1750690328,2025-06-23 14:52:08,59.912335,10.741785,16.88,22.39,9
1750690334,2025-06-23 14:52:14,59.912256,10.741692,16.96,22.42,9
1750690342,2025-06-23 14:52:22,59.912161,10.741634,17.19,23.26,9
1750690348,2025-06-23 14:52:28,59.91208,10.741535,17.25,23.12,8
1750690354,2025-06-23 14:52:34,59.911992,10.741498,17.35,23.12,9
1750690364,2025-06-23 14:52:44,59.911888,10.741544,17.56,23.01,9
1750690372,2025-06-23 14:52:52,59.911832,10.741721,17.31,22.85,9
1750690378,2025-06-23 14:52:58,59.911782,10.741898,17.24,22.51,10
1750690386,2025-06-23 14:53:06,59.911731,10.742082,16.68,21.91,11
1750690395,2025-06-23 14:53:15,59.911677,10.742232,16.66,21.79,9
1750690404,2025-06-23 14:53:24,59.911629,10.742424,17.3,23.42,8
1750690414,2025-06-23 14:53:34,59.911586,10.742629,17.45,23.7,10
1750690422,2025-06-23 14:53:42,59.911561,10.74283,17.38,22.71,11
1750690433,2025-06-23 14:53:53,59.911501,10.743021,17.19,22.47,11
1750690441,2025-06-23 14:54:01,59.911452,10.743185,16.8,21.65,9
1750690447,2025-06-23 14:54:07,59.911395,10.743336,21.62,39.64,9
1750690455,2025-06-23 14:54:15,59.911354,10.743513,21,20.68,8
1750690461,2025-06-23 14:54:21,59.911314,10.743732,21.1,28.64,8
1750690469,2025-06-23 14:54:29,59.911268,10.743944,20.12,27.78,9
1750690478,2025-06-23 14:54:38,59.911233,10.744167,18.95,23.47,10
1750690484,2025-06-23 14:54:44,59.911201,10.744393,18.22,23.11,10
1750690494,2025-06-23 14:54:54,59.911183,10.744598,18.63,22.88,8
1750690502,2025-06-23 14:55:02,59.911104,10.744694,19.09,23.83,8
1750690510,2025-06-23 14:55:10,59.911017,10.744776,18.31,22.92,9
1750690518,2025-06-23 14:55:18,59.910975,10.744977,18.21,22.53,11
1750690526,2025-06-23 14:55:26,59.910955,10.74519,18.45,22.62,11
1750690535,2025-06-23 14:55:35,59.910948,10.745376,21.53,24.29,13
1750690544,2025-06-23 14:55:44,59.910916,10.745601,21.66,26.02,13
1750690550,2025-06-23 14:55:50,59.910874,10.745815,20.58,25.95,13
1750690558,2025-06-23 14:55:58,59.910822,10.746006,19.64,25.28,13
1750690566,2025-06-23 14:56:06,59.910761,10.7462,21.66,26.02,13
1750690572,2025-06-23 14:56:12,59.910714,10.746375,21.37,28.15,13
1750690578,2025-06-23 14:56:18,59.910622,10.746462,20.58,25.95,12
1750690586,2025-06-23 14:56:26,59.910594,10.74665,15.72,20.4,11
1750690594,2025-06-23 14:56:34,59.91055,10.746835,15.68,21.55,12
1750690602,2025-06-23 14:56:42,59.910542,10.74704,15.68,19.7,12
1750690610,2025-06-23 14:56:50,59.91049,10.747291,15.72,21.05,12
1750690618,2025-06-23 14:56:58,59.910403,10.747412,15.28,21.52,12
1750690626,2025-06-23 14:57:06,59.910343,10.747597,15.21,21.28,10
1750690634,2025-06-23 14:57:14,59.910278,10.747768,14.66,19.25,11
1750690640,2025-06-23 14:57:20,59.910271,10.747963,14.45,19.21,13
1750690646,2025-06-23 14:57:26,59.910268,10.748169,14.57,19.97,15
1750690652,2025-06-23 14:57:32,59.91024,10.748343,14.27,19.62,14
1750690660,2025-06-23 14:57:40,59.910179,10.748483,13.82,18.34,13
1750690668,2025-06-23 14:57:48,59.9101,10.74862,13.57,18.22,11
1750690676,2025-06-23 14:57:56,59.910084,10.748859,13.16,17.21,12
1750690682,2025-06-23 14:58:02,59.910052,10.749038,13.06,16.63,13
1750690690,2025-06-23 14:58:10,59.909991,10.749237,13.06,17.54,12
1750690708,2025-06-23 14:58:28,59.909926,10.749378,12.45,18.02,12
1750690738,2025-06-23 14:58:58,59.909844,10.749514,13.52,18.25,11
1750690752,2025-06-23 14:59:12,59.909811,10.749716,13.05,16.71,8
1750690760,2025-06-23 14:59:20,59.909775,10.749898,13,17.18,7
1750690770,2025-06-23 14:59:30,59.909711,10.750062,12.93,18.51,6
1750690782,2025-06-23 14:59:42,59.909739,10.750318,7.38,12.18,7
1750690790,2025-06-23 14:59:50,59.909726,10.750529,7.26,12.65,6
1750690796,2025-06-23 14:59:56,59.909719,10.750727,7.56,11.31,6
1750690802,2025-06-23 15:00:02,59.909705,10.750917,7.19,8.26,5
1750690810,2025-06-23 15:00:10,59.909748,10.751124,7.57,8.17,5
1750690818,2025-06-23 15:00:18,59.909799,10.751299,8.5,8.85,5
1750690826,2025-06-23 15:00:26,59.909832,10.751533,7.51,8.36,5
1750690832,2025-06-23 15:00:32,59.909845,10.751712,7.57,8.17,5
1750690840,2025-06-23 15:00:40,59.909847,10.751937,7.87,8.26,5
1750690850,2025-06-23 15:00:50,59.909849,10.752196,18.78,21.71,5
1750690858,2025-06-23 15:00:58,59.909918,10.752347,21.44,25.34,5
1750690866,2025-06-23 15:01:06,59.910006,10.75242,18.11,21.44,4
1750690878,2025-06-23 15:01:18,59.91008,10.752596,12.38,20.59,7
1750690886,2025-06-23 15:01:26,59.910049,10.752774,10.91,20.34,10
1750690892,2025-06-23 15:01:32,59.909938,10.752837,10.66,18.17,13
1750690906,2025-06-23 15:01:46,59.909864,10.752957,8.34,10.8,49
1750690908,2025-06-23 15:01:48,59.910042,10.75284,8.38,9.4,96
1750690947,2025-06-23 15:02:27,59.910236,10.753014,6.05,16.44,46
1750690956,2025-06-23 15:02:36,59.910105,10.754441,6.08,12.44,86
1750690958,2025-06-23 15:02:38,59.91037,10.754378,5.81,11.74,67
1750690960,2025-06-23 15:02:40,59.910453,10.75445,5.57,10.81,49
1750690975,2025-06-23 15:02:55,59.910478,10.75465,5.03,7.95,8
