date_unix,date,lat,lon,countRate,doseRate,acc
1753371801,2025-07-24 15:43:21,59.939234,10.793087,8.81,11.44,19
1753371803,2025-07-24 15:43:23,59.93925,10.793404,8.56,12.34,14
1753371813,2025-07-24 15:43:33,59.939296,10.793581,8.34,13.9,18
1753371832,2025-07-24 15:43:52,59.939386,10.793735,8.66,12.63,4
1753371845,2025-07-24 15:44:05,59.939419,10.793921,8.19,10.54,6
1753371854,2025-07-24 15:44:14,59.939495,10.794067,7.91,10.14,6
1753371864,2025-07-24 15:44:24,59.939562,10.794229,7.67,9.42,6
1753371872,2025-07-24 15:44:32,59.939624,10.794385,7.56,9.52,6
1753371881,2025-07-24 15:44:41,59.939684,10.794523,7.52,9.5,6
1753371891,2025-07-24 15:44:51,59.939754,10.79465,7.36,9.64,6
1753371907,2025-07-24 15:45:07,59.939826,10.79481,7.75,9.62,6
1753371916,2025-07-24 15:45:16,59.93989,10.794978,7.71,9.66,7
1753371925,2025-07-24 15:45:25,59.939956,10.795152,7.71,9.73,7
1753371936,2025-07-24 15:45:36,59.940016,10.795342,7.56,9.52,6
1753371947,2025-07-24 15:45:47,59.940031,10.795527,7.58,9.79,6
1753371955,2025-07-24 15:45:55,59.940041,10.795717,7.51,9.45,6
1753371963,2025-07-24 15:46:03,59.940042,10.795937,7.45,9.7,6
1753371971,2025-07-24 15:46:11,59.940052,10.796135,7.38,9.66,6
1753371979,2025-07-24 15:46:19,59.940083,10.796339,7.45,9.76,6
1753371985,2025-07-24 15:46:25,59.94014,10.796485,11.34,15.65,6
1753371995,2025-07-24 15:46:35,59.940203,10.796675,11.22,14.1,6
1753372005,2025-07-24 15:46:45,59.940221,10.796866,11.22,14.89,5
1753372013,2025-07-24 15:46:53,59.940241,10.797051,12.02,15.89,5
1753372021,2025-07-24 15:47:01,59.940324,10.797158,12.12,14.79,5
1753372033,2025-07-24 15:47:13,59.940408,10.797249,11.9,15.3,6
1753372046,2025-07-24 15:47:26,59.940548,10.797363,11.92,15.39,15
1753372055,2025-07-24 15:47:35,59.940652,10.797441,12.14,15.14,18
1753372063,2025-07-24 15:47:43,59.940762,10.79745,12.18,14.65,24
1753372069,2025-07-24 15:47:49,59.940845,10.797226,12.22,14.73,30
1753372096,2025-07-24 15:48:16,59.940861,10.797406,8.66,10.67,5
1753372104,2025-07-24 15:48:24,59.940863,10.797602,8.51,10.2,5
1753372114,2025-07-24 15:48:34,59.940893,10.797801,8.06,10.87,5
