date_unix,date,lat,lon,countRate,doseRate,acc
1741250968,2025-03-06 08:49:28,63.426918,10.389625,3.77,5.22,14
1741251334,2025-03-06 08:55:34,63.4269,10.389828,3.48,6.63,19
1741251348,2025-03-06 08:55:48,63.426862,10.390018,3.34,6.07,22
1741251367,2025-03-06 08:56:07,63.426785,10.389872,3.24,5.81,24
1741251381,2025-03-06 08:56:21,63.426963,10.38984,3.2,5.85,20
1741251391,2025-03-06 08:56:31,63.427015,10.390016,3.12,5.6,36
1741251432,2025-03-06 08:57:12,63.427039,10.390301,2.95,5.08,26
1741251445,2025-03-06 08:57:25,63.427054,10.390773,2.96,5.27,25
1741251453,2025-03-06 08:57:33,63.427057,10.390989,3.02,5.73,30
1741251476,2025-03-06 08:57:56,63.427182,10.391297,2.95,5.93,27
1741251478,2025-03-06 08:57:58,63.427136,10.39176,2.9,5.89,26
1741251480,2025-03-06 08:58:00,63.427093,10.392418,2.89,5.78,27
1741251482,2025-03-06 08:58:02,63.427048,10.39307,2.87,5.77,28
1741251484,2025-03-06 08:58:04,63.42704,10.393503,2.83,5.6,30
1741251486,2025-03-06 08:58:06,63.427018,10.393947,2.82,5.6,88
1741251488,2025-03-06 08:58:08,63.426999,10.394392,2.84,5.76,139
1741251490,2025-03-06 08:58:10,63.427002,10.395209,2.83,5.76,436
1741251492,2025-03-06 08:58:12,63.427049,10.396224,2.81,5.72,373
1741251494,2025-03-06 08:58:14,63.427101,10.396914,2.8,5.72,188
1741251496,2025-03-06 08:58:16,63.427153,10.397348,2.81,5.73,72
1741251498,2025-03-06 08:58:18,63.427332,10.398328,2.8,5.68,76
1741251500,2025-03-06 08:58:20,63.42739,10.398955,2.79,5.69,49
1741251502,2025-03-06 08:58:22,63.427884,10.399326,2.78,5.54,48
1741251504,2025-03-06 08:58:24,63.427903,10.399622,2.75,5.48,52
1741251506,2025-03-06 08:58:26,63.427959,10.399853,2.75,5.49,51
1741251508,2025-03-06 08:58:28,63.428106,10.400108,2.74,5.33,57
